DANNEEL Alexandra POSITION,DANNEEL Alexandra LAP TIME,DANNEEL Alexandra ELAPSED TIME,PROSVIRNOVA Sofia POSITION,PROSVIRNOVA Sofia LAP TIME,PROSVIRNOVA Sofia ELAPSED TIME,KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME,Samantha MORRISON POSITION,Samantha MORRISON LAP TIME,Samantha MORRISON ELAPSED TIME
2,7.71,7.71,1,7.48,7.48,3,7.80,7.80,4,8.03,8.03
3,9.79,17.50,1,9.53,17.01,2,9.58,17.38,4,9.69,17.72
3,9.15,26.65,1,9.09,26.10,2,9.17,26.55,4,9.07,26.79
3,9.16,35.81,1,8.88,34.98,2,9.22,35.77,4,9.14,35.93
4,9.80,45.61,1,9.31,44.29,2,9.44,45.21,3,9.45,45.38
