Tatiana BODOVA POSITION,Tatiana BODOVA LAP TIME,Tatiana BODOVA ELAPSED TIME,Olena KORINCHUK POSITION,Olena KORINCHUK LAP TIME,Olena KORINCHUK ELAPSED TIME,Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME
1,7.59,7.59,4,7.86,7.86,2,7.72,7.72,3,7.80,7.80
2,9.85,17.44,4,9.98,17.84,1,9.52,17.24,3,9.66,17.46
3,9.45,26.89,4,9.61,27.45,1,9.03,26.27,2,9.19,26.65
3,9.48,36.37,4,9.92,37.37,1,9.24,35.51,2,9.15,35.80
3,9.67,46.033,4,9.99,47.357,1,9.38,44.882,2,9.16,44.953
