Iong A KIM POSITION,Iong A KIM LAP TIME,Iong A KIM ELAPSED TIME,Samantha MORRISON POSITION,Samantha MORRISON LAP TIME,Samantha MORRISON ELAPSED TIME,Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,STORMOWSKA Kamila POSITION,STORMOWSKA Kamila LAP TIME,STORMOWSKA Kamila ELAPSED TIME,EFREMENKOVA Ekaterina POSITION,EFREMENKOVA Ekaterina LAP TIME,EFREMENKOVA Ekaterina ELAPSED TIME
1,15.23,15.23,5,15.45,15.45,3,15.24,15.24,1,15.23,15.23,3,15.24,15.24
3,10.73,25.96,5,10.72,26.17,1,10.57,25.81,4,10.79,26.02,2,10.69,25.93
2,9.84,35.80,5,9.93,36.10,1,9.90,35.71,4,9.97,35.99,3,9.99,35.92
3,10.28,46.08,5,10.20,46.30,1,10.29,46.00,4,10.17,46.16,2,10.11,46.03
3,9.77,55.85,5,9.88,56.18,2,9.71,55.71,4,9.86,56.02,1,9.48,55.51
3,9.35,1:05.20,5,9.74,1:05.92,2,9.34,1:05.05,4,9.50,1:05.52,1,9.43,1:04.94
3,9.42,1:14.62,5,9.81,1:15.73,2,9.46,1:14.51,4,9.63,1:15.15,1,9.52,1:14.46
3,9.59,1:24.21,5,10.18,1:25.91,1,9.46,1:23.97,4,9.97,1:25.12,2,9.71,1:24.17
3,9.98,1:34.19,5,10.77,1:36.68,1,9.75,1:33.72,4,10.35,1:35.47,2,9.82,1:33.99
