Sabrina BOURGELA POSITION,Sabrina BOURGELA LAP TIME,Sabrina BOURGELA ELAPSED TIME,CHOI Ji Hyun POSITION,CHOI Ji Hyun LAP TIME,CHOI Ji Hyun ELAPSED TIME,HUANG Mei-Chi POSITION,HUANG Mei-Chi LAP TIME,HUANG Mei-Chi ELAPSED TIME,Mary GRACE POSITION,Mary GRACE LAP TIME,Mary GRACE ELAPSED TIME,KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME,Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME
1,9.01,9.01,4,9.56,9.56,2,9.22,9.22,3,9.42,9.42,5,9.63,9.63,6,9.80,9.80
1,13.52,22.53,6,13.78,23.34,2,13.62,22.84,3,13.46,22.88,4,13.40,23.03,5,13.39,23.19
1,12.78,35.31,6,12.57,35.91,4,12.95,35.79,3,12.67,35.55,5,12.77,35.80,2,12.16,35.35
3,11.72,47.03,6,11.68,47.59,5,11.60,47.39,2,11.47,47.02,4,11.29,47.09,1,11.67,47.02
2,10.96,57.99,4,10.68,58.27,6,11.15,58.54,1,10.92,57.94,5,11.43,58.52,3,11.04,58.06
3,12.06,1:10.05,5,12.03,1:10.30,6,12.00,1:10.54,2,11.92,1:09.86,4,11.58,1:10.10,1,11.79,1:09.85
2,12.49,1:22.54,5,12.58,1:22.88,6,12.43,1:22.97,1,12.57,1:22.43,4,12.66,1:22.76,3,12.81,1:22.66
2,12.31,1:34.85,5,12.38,1:35.26,6,12.46,1:35.43,1,12.36,1:34.79,4,12.39,1:35.15,3,12.32,1:34.98
2,11.74,1:46.59,4,11.65,1:46.91,6,11.73,1:47.16,1,11.75,1:46.54,5,11.92,1:47.07,3,11.74,1:46.72
3,10.55,1:57.14,1,9.57,1:56.48,6,11.47,1:58.63,2,10.45,1:56.99,5,10.32,1:57.39,4,10.52,1:57.24
2,10.19,2:07.33,1,10.11,2:06.59,6,11.94,2:10.57,3,10.45,2:07.44,5,10.60,2:07.99,4,10.43,2:07.67
2,10.29,2:17.62,1,10.33,2:16.92,5,12.73,2:23.30,3,10.57,2:18.01,6,28.09,2:36.08,4,10.51,2:18.18
2,10.32,2:27.94,1,10.32,2:27.24,5,13.06,2:36.36,4,10.57,2:28.58,6,16.89,2:52.97,3,10.22,2:28.40
2,10.79,2:38.724,1,10.81,2:38.045,5,13.25,2:49.602,4,11.38,2:39.954,6,14.50,3:07.467,3,10.43,2:38.828
