XU Hongzhi POSITION,XU Hongzhi LAP TIME,XU Hongzhi ELAPSED TIME,REN Ziwei POSITION,REN Ziwei LAP TIME,REN Ziwei ELAPSED TIME,Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME,KIM Si Un POSITION,KIM Si Un LAP TIME,KIM Si Un ELAPSED TIME,YOSHINAGA Kazuki POSITION,YOSHINAGA Kazuki LAP TIME,YOSHINAGA Kazuki ELAPSED TIME,Jens ALMEY POSITION,Jens ALMEY LAP TIME,Jens ALMEY ELAPSED TIME
5,10.36,,4,10.19,10.19,2,9.86,9.86,3,10.04,10.04,1,9.69,9.69,6,10.56,10.56
5,13.24,,4,13.27,23.46,3,13.45,23.31,2,13.17,23.21,1,13.27,22.96,6,13.18,23.74
5,12.46,,4,12.46,35.92,3,12.50,35.81,2,12.49,35.70,1,12.60,35.56,6,12.43,36.17
1,10.81,,5,11.28,47.20,2,11.14,46.95,3,11.29,46.99,4,11.54,47.10,6,11.19,47.36
2,9.70,,5,9.69,56.89,1,9.53,56.48,3,9.69,56.68,4,9.67,56.77,6,9.64,57.00
3,9.66,,5,9.52,1:06.41,2,9.64,1:06.12,1,9.36,1:06.04,4,9.47,1:06.24,6,9.53,1:06.53
3,9.72,,4,9.62,1:16.03,2,9.74,1:15.86,1,9.72,1:15.76,5,9.82,1:16.06,6,9.69,1:16.22
4,9.45,,1,8.91,1:24.94,3,9.41,1:25.27,2,9.39,1:25.15,5,9.45,1:25.51,6,9.44,1:25.66
4,9.16,,1,9.34,1:34.28,3,9.20,1:34.47,2,9.24,1:34.39,5,9.15,1:34.66,6,9.11,1:34.77
4,9.32,,1,9.34,1:43.62,3,9.37,1:43.84,2,9.35,1:43.74,5,9.40,1:44.06,6,9.42,1:44.19
3,9.45,,1,9.32,1:52.94,6,9.77,1:53.61,2,9.48,1:53.22,4,9.36,1:53.42,5,9.39,1:53.58
3,9.32,,1,9.29,2:02.23,6,9.38,2:02.99,2,9.19,2:02.41,4,9.35,2:02.77,5,9.27,2:02.85
5,9.43,,1,9.21,2:11.44,6,9.17,2:12.16,2,9.14,2:11.55,3,9.08,2:11.85,4,9.19,2:12.04
5,10.86,,1,9.37,2:20.81,4,9.07,2:21.23,2,9.35,2:20.90,3,9.09,2:20.94,6,13.54,2:25.58
