Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME,Rudy KOEK POSITION,Rudy KOEK LAP TIME,Rudy KOEK ELAPSED TIME,Gregory DURAND POSITION,Gregory DURAND LAP TIME,Gregory DURAND ELAPSED TIME
2,14.878,14.878,1,14.709,14.709,4,14.940,14.940,3,14.922,14.922
4,10.658,25.535,2,10.588,25.298,1,10.354,25.293,3,10.495,25.417
4,10.165,35.701,2,10.269,35.567,3,10.286,35.580,1,9.992,35.408
4,9.873,45.574,2,9.789,45.356,3,9.820,45.399,1,9.863,45.272
3,9.556,55.130,1,9.492,54.847,4,9.829,55.228,2,9.762,55.034
4,9.718,1:04.848,1,9.701,1:04.548,3,9.540,1:04.768,2,9.588,1:04.622
3,9.559,1:14.406,1,9.648,1:14.196,4,9.681,1:14.449,2,9.720,1:14.342
1,9.276,1:23.683,2,9.557,1:23.753,3,9.541,1:23.990,4,9.655,1:23.997
1,9.512,1:33.195,2,9.700,1:33.454,4,10.261,1:34.251,3,9.888,1:33.885
