Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME,REN Haobo POSITION,REN Haobo LAP TIME,REN Haobo ELAPSED TIME,Andras SZIKLASI POSITION,Andras SZIKLASI LAP TIME,Andras SZIKLASI ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,TRAN Aaron POSITION,TRAN Aaron LAP TIME,TRAN Aaron ELAPSED TIME
5,10.37,10.37,2,9.90,9.90,3,10.05,10.05,4,10.21,10.21,1,9.83,9.83
5,14.00,24.37,2,14.02,23.92,3,14.00,24.05,4,14.01,24.22,1,13.95,23.78
5,13.22,37.59,2,13.28,37.20,3,13.28,37.33,4,13.28,37.50,1,13.28,37.06
5,13.24,50.83,2,13.25,50.45,3,13.23,50.56,4,13.23,50.73,1,13.26,50.32
5,12.22,1:03.05,1,12.06,1:02.51,3,12.24,1:02.80,4,12.22,1:02.95,2,12.29,1:02.61
5,10.95,1:14.00,1,10.95,1:13.46,3,10.90,1:13.70,4,10.95,1:13.90,2,10.96,1:13.57
5,10.79,1:24.79,1,10.76,1:24.22,3,10.83,1:24.53,4,10.77,1:24.67,2,10.81,1:24.38
5,10.14,1:34.93,1,10.30,1:34.52,3,10.20,1:34.73,4,10.14,1:34.81,2,10.16,1:34.54
5,9.59,1:44.52,2,9.67,1:44.19,4,9.66,1:44.39,3,9.39,1:44.20,1,9.64,1:44.18
5,9.11,1:53.63,1,9.03,1:53.22,4,9.17,1:53.56,2,9.18,1:53.38,3,9.29,1:53.47
5,9.08,2:02.71,1,9.12,2:02.34,4,9.08,2:02.64,2,9.06,2:02.44,3,9.06,2:02.53
5,9.06,2:11.77,1,9.09,2:11.43,4,9.05,2:11.69,2,9.01,2:11.45,3,9.06,2:11.59
5,8.99,2:20.76,3,9.15,2:20.58,4,9.06,2:20.75,1,8.82,2:20.27,2,8.87,2:20.46
4,8.90,2:29.642,3,8.99,2:29.548,5,9.10,2:29.828,1,8.83,2:29.10,2,8.76,2:29.201
