Erika HUSZAR POSITION,Erika HUSZAR LAP TIME,Erika HUSZAR ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME,Francesca JACKSON POSITION,Francesca JACKSON LAP TIME,Francesca JACKSON ELAPSED TIME
0,,,1,14.30,14.30,2,14.34,14.34,3,14.48,14.48
1,0.00,25.39,2,11.29,25.59,3,11.27,25.61,4,11.23,25.72
1,10.94,36.33,2,11.03,36.63,3,11.07,36.69,4,11.06,36.78
1,10.25,46.59,3,10.14,46.77,2,10.03,46.73,4,10.17,46.96
1,10.17,56.76,2,10.21,56.98,3,10.31,57.05,4,10.22,57.18
1,9.83,1:06.59,3,10.04,1:07.03,2,9.76,1:06.81,4,10.05,1:07.23
1,10.09,1:16.69,3,9.97,1:17.00,2,9.99,1:16.80,4,10.64,1:17.87
1,10.12,1:26.81,3,10.16,1:27.16,2,10.05,1:26.86,4,10.86,1:28.74
2,11.37,1:38.176,0,,DQ,1,10.42,1:37.276,3,11.51,1:40.241
