Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME,SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME,Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME
1,6.83,6.83,2,6.99,6.99,4,7.33,7.33,3,7.03,7.03
1,9.03,15.86,3,9.21,16.20,4,8.95,16.28,2,8.93,15.96
1,8.52,24.38,4,8.78,24.98,3,8.45,24.73,2,8.54,24.50
2,8.83,33.21,4,8.80,33.78,3,8.61,33.34,1,8.63,33.13
2,9.05,42.258,4,8.97,42.745,3,8.95,42.286,1,9.01,42.131
