CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Murray COCHRANE POSITION,Murray COCHRANE LAP TIME,Murray COCHRANE ELAPSED TIME,GOEMINNE Gert-Jan POSITION,GOEMINNE Gert-Jan LAP TIME,GOEMINNE Gert-Jan ELAPSED TIME,Liam O'BRIEN POSITION,Liam O'BRIEN LAP TIME,Liam O'BRIEN ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME
3,10.23,10.23,1,9.84,9.84,5,10.67,10.67,2,9.98,9.98,4,10.52,10.52,6,10.85,10.85
3,13.03,23.26,1,13.17,23.01,6,12.81,23.48,2,13.11,23.09,5,12.85,23.37,4,12.48,23.33
4,12.22,35.48,1,12.09,35.10,6,12.21,35.69,2,12.13,35.22,5,12.21,35.58,3,12.00,35.33
2,11.37,46.85,1,11.67,46.77,6,11.61,47.30,4,11.77,46.99,5,11.47,47.05,3,11.57,46.90
3,10.58,57.43,4,10.70,57.47,6,10.47,57.77,5,10.65,57.64,1,10.22,57.27,2,10.44,57.34
1,9.75,1:07.18,4,10.01,1:07.48,6,9.96,1:07.73,5,9.97,1:07.61,2,9.97,1:07.24,3,10.01,1:07.35
3,10.16,1:17.34,4,9.99,1:17.47,6,10.01,1:17.74,5,10.00,1:17.61,1,10.05,1:17.29,2,9.95,1:17.30
3,10.08,1:27.42,4,10.06,1:27.53,6,10.00,1:27.74,5,10.03,1:27.64,2,9.95,1:27.24,1,9.91,1:27.21
3,9.63,1:37.05,4,9.60,1:37.13,6,9.62,1:37.36,5,9.60,1:37.24,1,9.61,1:36.85,2,9.74,1:36.95
2,9.51,1:46.56,4,9.60,1:46.73,6,9.58,1:46.94,5,9.62,1:46.86,1,9.63,1:46.48,3,9.70,1:46.65
2,9.30,1:55.86,4,9.37,1:56.10,6,9.46,1:56.40,5,9.44,1:56.30,1,9.27,1:55.75,3,9.34,1:55.99
2,9.18,2:05.04,4,9.10,2:05.20,5,9.10,2:05.50,6,9.42,2:05.72,1,9.20,2:04.95,3,9.14,2:05.13
4,9.40,2:14.44,3,9.21,2:14.41,5,9.13,2:14.63,6,9.62,2:15.34,1,9.31,2:14.26,2,9.21,2:14.34
0,,PHOTO,5,9.92,2:24.298,4,9.37,2:23.973,6,10.03,2:25.344,1,9.53,2:23.79,0,,PHOTO
