CHINA POSITION,CHINA LAP TIME,CHINA ELAPSED TIME,UNITED STATES POSITION,UNITED STATES LAP TIME,UNITED STATES ELAPSED TIME,BULGARIA POSITION,BULGARIA LAP TIME,BULGARIA ELAPSED TIME,CANADA POSITION,CANADA LAP TIME,CANADA ELAPSED TIME
1,12.051,12.051,3,12.506,12.506,2,12.483,12.483,4,12.566,12.566
1,9.835,21.885,2,9.528,22.034,3,9.558,22.040,4,9.763,22.329
1,9.159,31.044,2,9.431,31.464,3,9.805,31.846,4,9.626,31.956
1,9.069,40.114,2,9.468,40.933,3,9.372,41.218,4,9.606,41.561
1,9.662,49.775,2,9.515,50.448,3,9.677,50.896,4,9.429,50.990
1,9.528,59.303,2,9.470,59.918,3,9.571,1:00.466,4,9.602,1:00.592
1,9.606,1:08.910,2,9.422,1:09.340,3,9.561,1:10.027,4,9.598,1:10.189
1,9.367,1:18.277,2,9.517,1:18.857,3,9.089,1:19.116,4,9.369,1:19.558
1,9.175,1:27.452,2,9.557,1:28.415,4,10.230,1:29.346,3,9.379,1:28.937
1,9.435,1:36.888,2,9.933,1:38.347,4,9.545,1:38.891,3,9.483,1:38.420
1,9.581,1:46.469,2,9.477,1:47.824,4,10.309,1:49.199,3,9.601,1:48.020
1,9.577,1:56.046,2,9.592,1:57.416,4,9.535,1:58.735,3,9.503,1:57.523
1,9.514,2:05.559,2,9.487,2:06.904,4,9.567,2:08.301,3,9.656,2:07.179
1,9.294,2:14.853,2,9.707,2:16.611,4,9.572,2:17.874,3,9.545,2:16.724
1,9.257,2:24.110,3,9.748,2:26.359,4,9.607,2:27.481,2,9.627,2:26.351
1,9.500,2:33.610,3,9.817,2:36.176,4,9.940,2:37.421,2,9.728,2:36.079
1,9.364,2:42.974,3,9.616,2:45.792,4,10.438,2:47.859,2,9.569,2:45.648
1,9.729,2:52.703,3,9.779,2:55.571,4,10.139,2:57.997,2,9.597,2:55.245
1,9.576,3:02.279,3,9.549,3:05.120,4,9.826,3:07.823,2,9.704,3:04.949
1,9.497,3:11.776,3,9.481,3:14.601,4,19.253,3:27.077,2,9.440,3:14.388
1,9.542,3:21.318,3,9.660,3:24.261,4,11.439,3:38.515,2,9.770,3:24.158
1,9.463,3:30.781,3,9.865,3:34.127,4,9.915,3:48.430,2,9.557,3:33.715
1,9.893,3:40.675,3,9.850,3:43.977,4,9.749,3:58.179,2,9.724,3:43.439
1,9.547,3:50.222,3,9.445,3:53.422,4,10.143,4:08.323,2,9.708,3:53.147
1,9.733,3:59.954,2,9.427,4:02.849,4,11.159,4:19.481,3,10.052,4:03.199
1,9.550,4:09.504,2,9.799,4:12.648,4,11.258,4:30.739,3,9.580,4:12.779
1,9.926,4:19.430,3,9.619,4:22.267,4,12.021,4:42.759,2,9.449,4:22.227
