Alex BOISVERT-LACROIX POSITION,Alex BOISVERT-LACROIX LAP TIME,Alex BOISVERT-LACROIX ELAPSED TIME,Robert SEIFERT POSITION,Robert SEIFERT LAP TIME,Robert SEIFERT ELAPSED TIME,Rudy KOEK POSITION,Rudy KOEK LAP TIME,Rudy KOEK ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME
2,6.70,6.70,1,6.40,6.40,4,7.07,7.07,3,6.83,6.83
3,9.16,15.86,1,9.18,15.59,4,9.18,16.26,2,8.93,15.77
2,8.40,24.26,1,8.56,24.15,4,8.75,25.01,3,8.55,24.32
2,8.63,32.90,1,8.62,32.77,4,8.84,33.85,3,8.63,32.95
1,9.00,41.895,0,,DQ,3,9.07,42.916,2,9.15,42.092
