LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Jeremy BECK POSITION,Jeremy BECK LAP TIME,Jeremy BECK ELAPSED TIME,Charles Ryan LEVEILLE POSITION,Charles Ryan LEVEILLE LAP TIME,Charles Ryan LEVEILLE ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME,Dariusz KULESZA POSITION,Dariusz KULESZA LAP TIME,Dariusz KULESZA ELAPSED TIME
2,8.18,8.18,6,8.27,8.27,5,8.22,8.22,1,8.11,8.11,3,8.19,8.19,4,8.20,8.20
4,12.34,20.53,5,12.34,20.61,6,12.44,20.66,2,12.33,20.44,3,12.27,20.46,1,12.21,20.41
4,10.72,31.26,6,10.83,31.44,5,10.64,31.31,3,10.69,31.14,1,10.43,30.90,2,10.57,30.98
3,10.84,42.10,6,10.93,42.37,4,10.86,42.17,5,11.05,42.19,2,11.05,41.95,1,10.94,41.93
1,9.86,51.96,6,10.08,52.46,5,10.14,52.31,3,9.86,52.06,2,10.04,52.00,4,10.25,52.19
2,10.16,1:02.13,5,10.01,1:02.47,6,10.21,1:02.53,3,10.14,1:02.20,1,9.92,1:01.92,4,10.17,1:02.36
4,10.04,1:12.17,5,9.90,1:12.37,3,9.63,1:12.16,6,11.09,1:13.30,2,10.05,1:11.98,1,9.51,1:11.88
0,,,3,9.39,1:21.77,5,27.69,1:39.85,1,8.14,1:21.44,2,9.49,1:21.47,4,9.91,1:21.79
0,,,3,9.41,1:31.18,5,30.85,2:10.70,1,9.53,1:30.98,2,9.50,1:30.98,4,10.44,1:32.23
0,,,3,9.73,1:40.92,5,16.95,2:27.65,1,9.72,1:40.70,2,9.85,1:40.84,4,9.96,1:42.20
0,,,2,9.58,1:50.50,5,13.30,2:40.96,3,9.97,1:50.68,1,9.60,1:50.45,4,10.43,1:52.64
0,,,3,9.57,2:00.07,5,12.87,2:53.84,1,9.24,1:59.92,2,9.55,2:00.00,4,10.75,2:03.39
0,,,2,9.62,2:09.70,5,12.37,3:06.21,1,9.60,2:09.53,3,9.77,2:09.78,4,12.52,2:15.92
0,,DNF,3,10.13,2:19.830,0,,DQ,1,9.76,2:19.289,2,9.62,2:19.393,4,13.25,2:29.167
