Katherine REUTTER-ADAMEK POSITION,Katherine REUTTER-ADAMEK LAP TIME,Katherine REUTTER-ADAMEK ELAPSED TIME,Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME,XIAO Han POSITION,XIAO Han LAP TIME,XIAO Han ELAPSED TIME,Hitomi SAITO POSITION,Hitomi SAITO LAP TIME,Hitomi SAITO ELAPSED TIME,Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME
2,9.85,9.85,3,9.93,9.93,4,10.06,10.06,1,9.70,9.70,5,10.11,10.11
2,13.70,23.55,3,13.63,23.56,4,13.59,23.65,1,13.66,23.36,5,13.69,23.80
3,11.70,35.25,1,11.37,34.93,4,11.71,35.36,2,11.69,35.05,5,11.67,35.47
3,11.69,46.94,1,11.75,46.68,4,11.70,47.06,2,11.73,46.78,5,11.72,47.19
3,11.88,58.82,1,11.83,58.51,4,11.90,58.96,2,11.85,58.63,5,11.88,59.07
4,11.57,1:10.39,1,11.63,1:10.14,3,11.37,1:10.33,2,11.61,1:10.24,5,11.49,1:10.56
4,10.47,1:20.86,2,10.45,1:20.59,1,10.13,1:20.46,3,10.45,1:20.69,5,10.47,1:21.03
4,9.98,1:30.84,2,10.02,1:30.61,1,10.03,1:30.49,3,10.03,1:30.72,5,9.94,1:30.97
4,10.06,1:40.90,1,9.97,1:40.58,2,10.17,1:40.66,3,9.99,1:40.71,5,10.10,1:41.07
4,10.21,1:51.11,1,10.23,1:50.81,2,10.19,1:50.85,3,10.19,1:50.90,5,10.18,1:51.25
4,9.93,2:01.04,3,10.11,2:00.92,1,9.66,2:00.51,2,9.91,2:00.81,5,10.01,2:01.26
3,9.82,2:10.86,5,10.59,2:11.51,1,9.78,2:10.29,2,9.85,2:10.66,4,9.81,2:11.07
2,9.48,2:20.34,5,11.99,2:23.50,1,9.84,2:20.13,3,9.97,2:20.63,4,9.64,2:20.71
2,9.59,2:29.930,5,15.37,2:38.863,1,9.78,2:29.904,3,9.99,2:30.616,4,9.97,2:30.679
