HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME,Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME
2,13.63,13.63,1,13.53,13.53,3,13.73,13.73,4,13.82,13.82
4,10.63,24.26,3,10.63,24.16,2,10.34,24.07,1,10.14,23.96
3,9.74,34.00,2,9.77,33.93,4,9.95,34.02,1,9.87,33.83
4,9.66,43.66,2,9.53,43.46,3,9.55,43.57,1,9.53,43.36
4,9.14,52.80,2,9.06,52.52,3,9.14,52.71,1,9.14,52.50
4,8.69,1:01.49,1,8.70,1:01.22,3,8.70,1:01.41,2,8.81,1:01.31
4,8.63,1:10.12,1,8.72,1:09.94,3,8.71,1:10.12,2,8.72,1:10.03
4,20.65,1:30.77,3,9.43,1:19.37,2,8.93,1:19.05,1,8.83,1:18.86
4,22.17,1:52.936,3,9.35,1:28.716,2,8.94,1:27.990,1,8.90,1:27.756
