LI Jianrou POSITION,LI Jianrou LAP TIME,LI Jianrou ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,Julie JUNG POSITION,Julie JUNG LAP TIME,Julie JUNG ELAPSED TIME,PARK Seung-Hi POSITION,PARK Seung-Hi LAP TIME,PARK Seung-Hi ELAPSED TIME,Vera ANTANENKA POSITION,Vera ANTANENKA LAP TIME,Vera ANTANENKA ELAPSED TIME
2,9.53,9.53,1,9.38,9.38,5,9.78,9.78,4,9.65,9.65,3,9.61,9.61
3,12.74,22.27,2,12.77,22.15,5,12.83,22.61,4,12.85,22.50,1,12.25,21.86
3,11.07,33.34,2,11.03,33.18,5,11.01,33.62,4,11.02,33.52,1,11.21,33.07
3,11.07,44.41,2,11.11,44.29,5,11.02,44.64,4,11.00,44.52,1,11.12,44.19
3,11.14,55.55,2,11.14,55.43,5,11.11,55.75,4,11.10,55.62,1,11.14,55.33
3,10.67,1:06.22,2,10.75,1:06.18,5,10.68,1:06.43,1,10.34,1:05.96,4,10.92,1:06.25
3,9.94,1:16.16,2,9.88,1:16.06,4,9.84,1:16.27,1,10.00,1:15.96,5,10.14,1:16.39
3,10.57,1:26.73,2,10.55,1:26.61,4,10.56,1:26.83,1,10.55,1:26.51,5,10.53,1:26.92
3,10.50,1:37.23,2,10.48,1:37.09,4,10.50,1:37.33,1,10.45,1:36.96,5,10.55,1:37.47
3,10.29,1:47.52,2,10.34,1:47.43,4,10.35,1:47.68,1,10.37,1:47.33,5,10.44,1:47.91
3,9.93,1:57.45,2,9.98,1:57.41,4,10.12,1:57.80,1,9.98,1:57.31,5,10.24,1:58.15
2,9.61,2:07.06,3,10.04,2:07.45,4,10.34,2:08.14,1,9.68,2:06.99,5,10.51,2:08.66
1,9.72,2:16.78,3,9.72,2:17.17,4,10.87,2:19.01,2,9.90,2:16.89,5,10.73,2:19.39
1,10.06,2:26.832,3,10.17,2:27.338,5,11.45,2:30.454,2,10.05,2:26.940,4,11.02,2:30.404
