Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Jens ALMEY POSITION,Jens ALMEY LAP TIME,Jens ALMEY ELAPSED TIME,Christopher JARDEN POSITION,Christopher JARDEN LAP TIME,Christopher JARDEN ELAPSED TIME,Salvijus RAMANAUSKAS POSITION,Salvijus RAMANAUSKAS LAP TIME,Salvijus RAMANAUSKAS ELAPSED TIME,OLAH Bence POSITION,OLAH Bence LAP TIME,OLAH Bence ELAPSED TIME,Clement FLORAC POSITION,Clement FLORAC LAP TIME,Clement FLORAC ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME
5,10.60,10.60,1,10.15,10.15,6,10.66,10.66,2,10.32,10.32,3,10.42,10.42,4,10.46,10.46,7,10.79,10.79
6,14.17,24.77,1,14.04,24.19,2,13.55,24.21,4,14.05,24.37,3,13.88,24.30,5,14.13,24.59,7,14.14,24.93
6,11.98,36.75,3,12.21,36.40,1,11.97,36.18,2,11.91,36.28,4,12.21,36.51,5,12.06,36.65,7,11.94,36.87
6,11.29,48.04,1,11.11,47.51,1,11.33,47.51,3,11.33,47.61,4,11.24,47.75,5,11.26,47.91,7,11.33,48.20
6,10.90,58.94,1,11.12,58.63,4,11.31,58.82,2,11.14,58.75,3,11.05,58.80,5,11.02,58.93,7,10.84,59.04
3,10.05,1:08.99,3,10.36,1:08.99,7,10.38,1:09.20,5,10.34,1:09.09,2,10.09,1:08.89,6,10.18,1:09.11,1,9.80,1:08.84
1,9.74,1:18.73,5,10.06,1:19.05,7,10.05,1:19.25,6,10.07,1:19.16,3,9.98,1:18.87,4,9.78,1:18.89,2,9.96,1:18.80
2,10.27,1:29.00,4,10.16,1:29.21,7,10.34,1:29.59,6,10.32,1:29.48,3,10.24,1:29.11,5,10.50,1:29.39,1,10.13,1:28.93
2,10.03,1:39.03,3,9.90,1:39.11,7,10.03,1:39.62,6,9.99,1:39.47,4,10.03,1:39.14,5,9.95,1:39.34,1,10.02,1:38.95
1,9.53,1:48.56,3,9.68,1:48.79,7,9.66,1:49.28,6,9.69,1:49.16,4,9.76,1:48.90,5,9.70,1:49.04,2,9.63,1:48.58
1,9.23,1:57.79,3,9.18,1:57.97,7,9.74,1:59.02,6,9.54,1:58.70,5,9.40,1:58.30,4,9.16,1:58.20,2,9.30,1:57.88
2,9.24,2:07.03,3,9.21,2:07.18,7,9.76,2:08.78,6,9.76,2:08.46,5,9.33,2:07.63,4,9.34,2:07.54,1,9.06,2:06.94
1,8.94,2:15.97,3,9.08,2:16.26,7,9.87,2:18.65,6,9.94,2:18.40,5,9.55,2:17.18,4,9.43,2:16.97,2,9.06,2:16.00
1,8.97,2:24.94,3,9.23,2:25.49,6,10.18,2:28.83,7,10.81,2:29.21,5,10.20,2:27.38,4,9.90,2:26.87,2,9.06,2:25.06
