Dariya VOLOKITINA POSITION,Dariya VOLOKITINA LAP TIME,Dariya VOLOKITINA ELAPSED TIME,FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,Sayuri SHIMIZU POSITION,Sayuri SHIMIZU LAP TIME,Sayuri SHIMIZU ELAPSED TIME,Elisa LENKE POSITION,Elisa LENKE LAP TIME,Elisa LENKE ELAPSED TIME
3,7.82,7.82,1,7.42,7.42,2,7.61,7.61,4,7.82,7.82,5,8.04,8.04
4,9.91,17.73,1,9.56,16.98,2,9.52,17.13,3,9.71,17.53,5,9.89,17.93
4,9.50,27.23,1,9.17,26.15,2,9.11,26.24,3,8.96,26.49,5,9.46,27.39
5,9.89,37.12,1,9.19,35.34,2,9.18,35.42,3,9.00,35.49,4,9.54,36.93
4,9.94,47.056,1,9.61,44.946,2,9.62,45.039,0,,PEN,3,9.81,46.739
