Maria ORLOVA POSITION,Maria ORLOVA LAP TIME,Maria ORLOVA ELAPSED TIME,de VRIES Rianne POSITION,de VRIES Rianne LAP TIME,de VRIES Rianne ELAPSED TIME,KIM Min-Jung POSITION,KIM Min-Jung LAP TIME,KIM Min-Jung ELAPSED TIME,Barbara KOBYLAKIEWICZ POSITION,Barbara KOBYLAKIEWICZ LAP TIME,Barbara KOBYLAKIEWICZ ELAPSED TIME
1,10.11,10.11,2,10.30,10.30,4,10.74,10.74,3,10.44,10.44
1,16.43,26.54,2,16.41,26.71,4,16.46,27.20,3,16.40,26.84
1,15.73,42.27,2,15.74,42.45,4,15.63,42.83,3,15.76,42.60
1,15.70,57.97,2,15.62,58.07,4,15.76,58.59,3,15.60,58.20
1,16.06,1:14.03,2,16.08,1:14.15,4,16.05,1:14.64,3,16.11,1:14.31
2,15.80,1:29.83,1,15.60,1:29.75,4,15.81,1:30.45,3,15.67,1:29.98
3,13.66,1:43.49,1,13.70,1:43.45,4,13.38,1:43.83,2,13.49,1:43.47
2,10.75,1:54.24,1,10.75,1:54.20,4,10.87,1:54.70,3,10.87,1:54.34
1,9.43,2:03.67,2,9.68,2:03.88,4,9.51,2:04.21,3,9.67,2:04.01
1,9.64,2:13.31,2,9.51,2:13.39,4,9.37,2:13.58,3,9.45,2:13.46
1,9.91,2:23.22,2,9.91,2:23.30,4,9.91,2:23.49,3,9.93,2:23.39
1,10.05,2:33.27,2,10.03,2:33.33,4,9.92,2:33.41,3,10.00,2:33.39
2,10.23,2:43.50,3,10.20,2:43.53,1,9.60,2:43.01,4,10.45,2:43.84
2,10.31,2:53.810,3,10.38,2:53.906,1,9.92,2:52.930,4,10.56,2:54.392
