SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME,HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME,Marta PASKEVICA POSITION,Marta PASKEVICA LAP TIME,Marta PASKEVICA ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,TALAYEVA Volha POSITION,TALAYEVA Volha LAP TIME,TALAYEVA Volha ELAPSED TIME,Patrycja MALISZEWSKA POSITION,Patrycja MALISZEWSKA LAP TIME,Patrycja MALISZEWSKA ELAPSED TIME
2,10.33,10.33,3,10.53,10.53,4,10.72,10.72,6,11.09,11.09,1,10.15,10.15,5,10.90,10.90
2,13.98,24.31,4,14.06,24.59,5,14.01,24.73,3,13.36,24.45,1,14.04,24.19,6,13.92,24.82
2,13.18,37.49,5,13.28,37.87,6,13.25,37.98,3,13.19,37.64,1,13.15,37.34,4,12.93,37.75
2,12.88,50.37,5,12.83,50.70,6,12.88,50.86,3,12.86,50.50,1,12.93,50.27,4,12.85,50.60
2,12.20,1:02.57,1,11.87,1:02.57,6,12.17,1:03.03,4,12.31,1:02.81,3,12.36,1:02.63,5,12.29,1:02.89
2,10.71,1:13.28,1,10.64,1:13.21,6,10.53,1:13.56,3,10.56,1:13.37,4,10.81,1:13.44,5,10.56,1:13.45
3,11.03,1:24.31,2,11.06,1:24.27,6,11.21,1:24.77,1,10.89,1:24.26,5,11.18,1:24.62,4,10.99,1:24.44
3,10.81,1:35.12,2,10.78,1:35.05,6,10.68,1:35.45,1,10.71,1:34.97,5,10.72,1:35.34,4,10.79,1:35.23
3,10.61,1:45.73,2,10.60,1:45.65,6,10.69,1:46.14,1,10.53,1:45.50,5,10.60,1:45.94,4,10.51,1:45.74
3,9.76,1:55.49,2,9.79,1:55.44,6,10.42,1:56.56,1,9.87,1:55.37,5,9.90,1:55.84,4,9.76,1:55.50
3,9.85,2:05.34,2,9.82,2:05.26,5,11.00,2:07.56,1,9.81,2:05.18,4,10.16,2:06.00,6,29.85,2:25.35
3,9.92,2:15.26,2,9.92,2:15.18,5,11.46,2:19.02,1,9.92,2:15.10,4,10.25,2:16.25,6,18.36,2:43.71
3,10.10,2:25.36,2,10.07,2:25.25,5,11.98,2:31.00,1,10.06,2:25.16,4,10.55,2:26.80,6,15.12,2:58.83
0,,PEN,2,10.45,2:35.696,4,12.42,2:43.420,1,10.32,2:35.472,3,11.03,2:37.824,5,12.59,3:11.413
