GUO Yihan POSITION,GUO Yihan LAP TIME,GUO Yihan ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,Agnieszka TAWREL POSITION,Agnieszka TAWREL LAP TIME,Agnieszka TAWREL ELAPSED TIME,Ilze URTANE POSITION,Ilze URTANE LAP TIME,Ilze URTANE ELAPSED TIME,AHN Se Jung POSITION,AHN Se Jung LAP TIME,AHN Se Jung ELAPSED TIME
3,9.07,9.07,1,8.68,8.68,4,9.10,9.10,2,8.89,8.89,5,9.43,9.43
4,10.97,20.04,1,10.90,19.58,3,10.77,19.87,2,10.87,19.76,5,10.86,20.29
4,10.20,30.24,1,10.33,29.91,3,10.27,30.14,2,10.29,30.05,5,10.16,30.45
4,10.11,40.35,1,10.16,40.07,3,10.13,40.27,2,10.14,40.19,5,10.09,40.54
4,10.19,50.54,1,10.18,50.25,3,10.17,50.44,2,10.18,50.37,5,10.14,50.68
4,10.28,1:00.82,1,10.27,1:00.52,3,10.30,1:00.74,2,10.29,1:00.66,5,10.29,1:00.97
4,10.16,1:10.98,1,10.23,1:10.75,2,10.15,1:10.89,3,10.25,1:10.91,5,10.22,1:11.19
2,9.93,1:20.91,1,10.14,1:20.89,3,10.17,1:21.06,5,10.75,1:21.66,4,10.00,1:21.19
1,10.06,1:30.97,2,10.22,1:31.11,4,10.54,1:31.60,5,11.15,1:32.81,3,10.04,1:31.23
1,10.36,1:41.33,2,10.34,1:41.45,4,11.23,1:42.83,5,11.15,1:43.96,3,10.38,1:41.61
2,10.49,1:51.82,3,10.47,1:51.92,4,11.82,1:54.65,5,11.14,1:55.10,1,10.09,1:51.70
2,10.34,2:02.16,3,10.35,2:02.27,5,11.98,2:06.63,4,11.07,2:06.17,1,9.99,2:01.69
2,10.52,2:12.68,3,10.53,2:12.80,5,12.72,2:19.35,4,11.46,2:17.63,1,10.25,2:11.94
3,10.63,2:23.308,2,10.50,2:23.300,5,13.71,2:33.059,4,11.77,2:29.393,1,10.50,2:22.431
