START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
5,15.83,15.83,3,15.62,15.62,2,15.55,15.55,1,15.46,15.46,4,15.72,15.72,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1000m,w,Preliminaries,10
5,11.54,27.37,4,11.62,27.24,2,11.55,27.10,1,11.52,26.98,3,11.41,27.13,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1000m,w,Preliminaries,10
5,10.46,37.83,4,10.48,37.72,3,10.25,37.35,1,10.12,37.10,2,10.08,37.21,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1000m,w,Preliminaries,10
5,10.56,48.39,4,10.56,48.28,3,10.03,47.38,1,10.04,47.14,2,10.05,47.26,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1000m,w,Preliminaries,10
4,10.95,59.34,5,11.09,59.37,2,9.81,57.19,1,9.97,57.11,3,10.08,57.34,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1000m,w,Preliminaries,10
4,10.84,1:10.18,5,11.32,1:10.69,2,9.76,1:06.95,1,9.75,1:06.86,3,9.77,1:07.11,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1000m,w,Preliminaries,10
4,11.11,1:21.29,5,11.47,1:22.16,2,9.71,1:16.66,1,9.72,1:16.58,3,9.68,1:16.79,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1000m,w,Preliminaries,10
4,11.62,1:32.91,5,11.80,1:33.96,2,9.75,1:26.41,1,9.75,1:26.33,3,9.75,1:26.54,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1000m,w,Preliminaries,10
4,11.84,1:44.75,5,11.92,1:45.88,2,9.92,1:36.33,1,9.91,1:36.24,3,9.90,1:36.44,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1000m,w,Preliminaries,10
