Aika KLEIN POSITION,Aika KLEIN LAP TIME,Aika KLEIN ELAPSED TIME,KIM Min-Jung POSITION,KIM Min-Jung LAP TIME,KIM Min-Jung ELAPSED TIME,Stephanie BOUVIER POSITION,Stephanie BOUVIER LAP TIME,Stephanie BOUVIER ELAPSED TIME,Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME
3,13.86,13.86,2,13.79,13.79,1,13.28,13.28,4,13.88,13.88
3,10.51,24.37,2,10.49,24.28,1,10.90,24.19,4,10.65,24.53
4,10.08,34.46,2,9.99,34.27,1,9.94,34.14,3,9.89,34.42
3,9.65,44.11,2,9.78,44.06,1,9.53,43.68,4,9.70,44.12
3,10.08,54.20,2,10.05,54.12,1,9.98,53.66,4,10.17,54.30
2,9.82,1:04.03,3,9.90,1:04.03,1,9.97,1:03.63,4,9.90,1:04.20
3,9.68,1:13.71,1,9.34,1:13.37,2,9.77,1:13.40,4,9.68,1:13.89
4,9.64,1:23.35,2,9.57,1:22.95,1,9.51,1:22.92,3,9.44,1:23.33
3,9.81,1:33.154,1,9.91,1:32.851,2,10.15,1:33.070,4,9.85,1:33.177
