VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME,BACSKAI Sara Luca POSITION,BACSKAI Sara Luca LAP TIME,BACSKAI Sara Luca ELAPSED TIME,ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME,HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME,ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME,Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME
3,14.85,14.85,5,14.98,,1,14.57,14.57,6,15.00,15.00,4,14.89,14.89,2,14.71,14.71
5,10.21,25.06,6,10.19,,2,10.18,24.75,3,9.84,24.84,1,9.78,24.67,4,10.24,24.95
5,10.16,35.22,6,10.12,,2,10.22,34.97,4,10.21,35.05,1,10.22,34.89,3,10.09,35.04
5,10.09,45.31,6,10.12,,3,10.17,45.14,4,10.16,45.21,2,10.16,45.05,1,9.80,44.84
4,9.84,55.15,6,9.91,,3,9.94,55.08,5,9.96,55.17,2,9.92,54.97,1,10.04,54.88
2,9.89,1:05.04,6,10.04,,4,10.16,1:05.24,5,10.11,1:05.28,3,10.12,1:05.09,1,10.10,1:04.98
1,9.56,1:14.60,5,9.72,,6,9.85,1:15.09,4,9.67,1:14.95,3,9.82,1:14.91,2,9.78,1:14.76
2,9.93,1:24.53,4,9.66,,6,10.02,1:25.11,3,9.64,1:24.59,5,9.96,1:24.87,1,9.63,1:24.39
3,10.41,1:34.942,3,9.96,,5,10.22,1:35.331,2,10.04,1:34.63,4,10.23,1:35.109,1,10.09,1:34.48
