Jonathan SO POSITION,Jonathan SO LAP TIME,Jonathan SO ELAPSED TIME,TRAN Aaron POSITION,TRAN Aaron LAP TIME,TRAN Aaron ELAPSED TIME,LI Wenlong POSITION,LI Wenlong LAP TIME,LI Wenlong ELAPSED TIME,NAVARRO Tristan POSITION,NAVARRO Tristan LAP TIME,NAVARRO Tristan ELAPSED TIME,SHAMUKHANOV Yerkebulan POSITION,SHAMUKHANOV Yerkebulan LAP TIME,SHAMUKHANOV Yerkebulan ELAPSED TIME,SITNIKOV Pavel POSITION,SITNIKOV Pavel LAP TIME,SITNIKOV Pavel ELAPSED TIME
1,10.24,10.24,5,10.72,10.72,4,10.45,10.45,6,10.85,10.85,3,10.41,10.41,2,10.32,
1,14.24,24.48,4,14.04,24.76,5,14.36,24.81,6,14.02,24.87,2,14.15,24.56,3,14.28,
2,11.36,35.84,1,11.01,35.77,6,11.38,36.19,3,11.00,35.87,4,11.32,35.88,5,11.47,
2,10.73,46.57,1,10.65,46.42,5,10.67,46.86,4,10.93,46.80,3,10.80,46.68,6,10.86,
3,9.90,56.47,2,9.86,56.28,1,9.32,56.18,5,9.89,56.69,4,9.97,56.65,6,9.81,
3,9.56,1:06.03,2,9.65,1:05.93,1,9.67,1:05.85,5,9.41,1:06.10,4,9.41,1:06.06,6,9.48,
4,9.31,1:15.34,3,9.35,1:15.28,1,9.33,1:15.18,5,9.29,1:15.39,2,9.14,1:15.20,6,9.36,
4,9.18,1:24.52,6,9.38,1:24.66,2,9.13,1:24.31,3,9.02,1:24.41,1,9.05,1:24.25,5,9.07,
2,8.94,1:33.46,5,9.08,1:33.74,1,9.05,1:33.36,4,9.23,1:33.64,3,9.27,1:33.52,6,9.10,
2,9.07,1:42.53,5,8.98,1:42.72,1,9.03,1:42.39,4,9.06,1:42.70,3,9.12,1:42.64,6,9.00,
2,9.03,1:51.56,4,9.00,1:51.72,1,9.02,1:51.41,5,9.25,1:51.95,3,9.06,1:51.70,6,9.48,
2,9.08,2:00.64,4,9.05,2:00.77,1,9.14,2:00.55,5,9.01,2:00.96,3,9.06,2:00.76,6,8.96,
2,9.29,2:09.93,4,9.30,2:10.07,1,9.29,2:09.84,5,9.20,2:10.16,3,9.19,2:09.95,6,9.15,
3,9.77,2:19.701,5,48.38,2:58.453,1,9.39,2:19.23,4,44.99,2:55.156,2,9.32,2:19.275,4,9.56,
