Peter JELEN POSITION,Peter JELEN LAP TIME,Peter JELEN ELAPSED TIME,Myukerrem TOP POSITION,Myukerrem TOP LAP TIME,Myukerrem TOP ELAPSED TIME,David Mano LOTH POSITION,David Mano LOTH LAP TIME,David Mano LOTH ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME
1,7.14,7.14,4,8.06,8.06,2,7.28,7.28,3,7.38,7.38
1,9.30,16.44,4,10.31,18.37,2,9.25,16.53,3,9.22,16.60
1,8.86,25.30,4,20.33,38.70,2,8.88,25.41,3,8.89,25.49
2,9.05,34.35,4,17.46,56.16,3,9.10,34.51,1,8.67,34.16
2,8.93,43.277,0,,DQ,3,8.92,43.425,1,8.75,42.906
