SUI Xin POSITION,SUI Xin LAP TIME,SUI Xin ELAPSED TIME,NEMIRO Nikita POSITION,NEMIRO Nikita LAP TIME,NEMIRO Nikita ELAPSED TIME,Tsvetan TSANKOV POSITION,Tsvetan TSANKOV LAP TIME,Tsvetan TSANKOV ELAPSED TIME,TREACY Farrell POSITION,TREACY Farrell LAP TIME,TREACY Farrell ELAPSED TIME
1,14.16,14.16,2,14.26,14.26,3,14.43,14.43,4,14.57,14.57
1,11.38,25.54,2,11.40,25.66,3,11.33,25.76,4,11.29,25.86
1,10.36,35.90,2,10.36,36.02,3,10.44,36.20,4,10.51,36.37
2,9.94,45.84,3,9.97,45.99,4,9.93,46.13,1,9.42,45.79
2,9.16,55.00,3,9.18,55.17,4,9.32,55.45,1,9.12,54.91
2,9.33,1:04.33,3,9.29,1:04.46,4,9.23,1:04.68,1,9.34,1:04.25
2,9.51,1:13.84,3,9.49,1:13.95,4,9.40,1:14.08,1,9.47,1:13.72
2,9.53,1:23.37,3,9.54,1:23.49,4,9.56,1:23.64,1,9.39,1:23.11
2,9.64,1:33.01,3,9.71,1:33.174,4,9.80,1:33.432,1,9.37,1:32.48
