SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME,Michael GILDAY POSITION,Michael GILDAY LAP TIME,Michael GILDAY ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME
4,13.37,13.37,3,13.27,13.27,5,13.46,13.46,1,12.97,12.97,2,13.10,13.10
5,9.98,23.35,4,9.99,23.26,3,9.71,23.17,1,10.00,22.97,2,9.97,23.07
5,9.49,32.84,4,9.50,32.76,3,9.48,32.65,1,9.47,32.44,2,9.46,32.53
5,9.00,41.84,4,9.07,41.83,3,9.16,41.81,1,9.15,41.59,2,9.17,41.70
3,8.82,50.66,5,9.05,50.88,4,8.96,50.77,1,8.87,50.46,2,8.86,50.56
2,8.72,59.38,5,8.79,59.67,4,8.81,59.58,3,8.94,59.40,1,8.79,59.35
2,8.90,1:08.28,4,8.78,1:08.45,5,9.09,1:08.67,3,9.02,1:08.42,1,8.82,1:08.17
2,8.84,1:17.12,3,8.79,1:17.24,5,8.91,1:17.58,4,9.16,1:17.58,1,8.87,1:17.04
2,8.92,1:26.035,3,8.88,1:26.111,4,8.78,1:26.354,5,10.26,1:27.831,1,8.98,1:26.011
