SEJPALOVA-HRUZOVA Michaela POSITION,SEJPALOVA-HRUZOVA Michaela LAP TIME,SEJPALOVA-HRUZOVA Michaela ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME,ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME,BURIC Katarina POSITION,BURIC Katarina LAP TIME,BURIC Katarina ELAPSED TIME,Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME
3,11.27,11.27,4,11.63,11.63,5,11.80,11.80,1,11.14,11.14,6,11.90,11.90,2,11.25,11.25
3,15.93,27.20,4,15.73,27.36,5,15.73,27.53,1,15.80,26.94,6,15.76,27.66,2,15.81,27.06
3,15.23,42.43,4,15.24,42.60,5,15.19,42.72,1,15.18,42.12,6,15.18,42.84,2,15.24,42.30
2,14.07,56.50,4,14.25,56.85,5,14.32,57.04,1,14.36,56.48,6,14.32,57.16,3,14.30,56.60
1,13.26,1:09.76,2,12.97,1:09.82,4,12.87,1:09.91,5,13.46,1:09.94,6,12.97,1:10.13,3,13.27,1:09.87
5,11.91,1:21.67,3,11.72,1:21.54,1,11.31,1:21.22,4,11.69,1:21.63,6,11.66,1:21.79,2,11.39,1:21.26
5,10.60,1:32.27,4,10.59,1:32.13,2,10.56,1:31.78,1,10.03,1:31.66,6,10.59,1:32.38,3,10.65,1:31.91
5,10.28,1:42.55,4,10.30,1:42.43,2,10.42,1:42.20,1,10.44,1:42.10,6,10.27,1:42.65,3,10.33,1:42.24
5,9.96,1:52.51,4,9.95,1:52.38,2,9.97,1:52.17,1,9.95,1:52.05,6,10.01,1:52.66,3,10.05,1:52.29
5,9.94,2:02.45,4,9.95,2:02.33,2,9.94,2:02.11,1,9.96,2:02.01,6,9.92,2:02.58,3,9.94,2:02.23
5,9.93,2:12.38,2,9.73,2:12.06,2,9.95,2:12.06,1,9.95,2:11.96,6,10.04,2:12.62,4,9.96,2:12.19
5,9.75,2:22.13,1,9.07,2:21.13,3,9.72,2:21.78,2,9.72,2:21.68,6,10.20,2:22.82,4,9.69,2:21.88
5,9.75,2:31.88,1,9.40,2:30.53,3,9.66,2:31.44,2,9.64,2:31.32,6,10.71,2:33.53,4,9.70,2:31.58
5,9.80,2:41.68,1,9.91,2:40.44,3,9.85,2:41.29,2,9.87,2:41.19,6,11.76,2:45.29,4,9.79,2:41.37
