Olga MASKAIKINA POSITION,Olga MASKAIKINA LAP TIME,Olga MASKAIKINA ELAPSED TIME,Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME,Malwina ZAWADA POSITION,Malwina ZAWADA LAP TIME,Malwina ZAWADA ELAPSED TIME,Chika ISHIDA POSITION,Chika ISHIDA LAP TIME,Chika ISHIDA ELAPSED TIME
1,14.36,14.36,3,14.70,14.70,4,14.78,14.78,2,14.42,14.42
2,10.95,25.31,3,10.81,25.52,4,10.76,25.54,1,10.78,25.20
2,10.21,35.53,3,10.21,35.74,4,10.25,35.79,1,10.30,35.50
1,10.23,45.77,4,10.34,46.08,3,10.21,46.01,2,10.31,45.82
2,10.45,56.22,4,10.36,56.44,3,10.29,56.30,1,10.39,56.21
1,10.36,1:06.59,4,10.45,1:06.90,3,10.50,1:06.80,2,10.40,1:06.61
2,10.55,1:17.15,3,10.36,1:17.26,4,10.55,1:17.36,1,10.38,1:16.99
2,10.47,1:27.62,1,9.44,1:26.71,3,10.30,1:27.66,4,26.22,1:43.22
2,10.56,1:38.174,1,9.83,1:36.532,3,10.60,1:38.259,4,12.80,1:56.013
