LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME,Takayuki MURATAKE POSITION,Takayuki MURATAKE LAP TIME,Takayuki MURATAKE ELAPSED TIME,LEE Han-Bin POSITION,LEE Han-Bin LAP TIME,LEE Han-Bin ELAPSED TIME,SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME
1,6.85,6.85,3,7.16,7.16,2,6.98,6.98,4,7.39,7.39
1,8.92,15.77,3,8.84,16.00,2,8.91,15.89,4,8.88,16.27
1,8.46,24.23,3,8.55,24.55,2,8.42,24.31,4,9.08,25.35
2,8.51,32.74,3,8.84,33.39,1,8.42,32.73,4,9.65,35.00
4,41.80,1:14.538,2,9.09,42.471,1,9.21,41.935,3,10.79,45.782
