TREACY Niall POSITION,TREACY Niall LAP TIME,TREACY Niall ELAPSED TIME,ANDERMANN Nico POSITION,ANDERMANN Nico LAP TIME,ANDERMANN Nico ELAPSED TIME,CHU Sidney K POSITION,CHU Sidney K LAP TIME,CHU Sidney K ELAPSED TIME,NEMIRO Nikita POSITION,NEMIRO Nikita LAP TIME,NEMIRO Nikita ELAPSED TIME,Bor Luka URLEP POSITION,Bor Luka URLEP LAP TIME,Bor Luka URLEP ELAPSED TIME
2,18.74,18.74,5,19.06,19.06,3,18.84,18.84,1,18.54,18.54,4,18.87,18.87
3,13.75,32.49,5,13.59,32.65,4,13.71,32.55,1,13.83,32.37,2,13.56,32.43
3,11.64,44.13,4,11.61,44.26,5,11.88,44.43,1,11.63,44.00,2,11.67,44.10
1,10.03,54.16,4,10.12,54.38,5,10.13,54.56,3,10.35,54.35,2,10.14,54.24
1,9.79,1:03.95,3,9.74,1:04.12,5,9.82,1:04.38,4,9.93,1:04.28,2,9.78,1:04.02
1,9.61,1:13.56,3,9.64,1:13.76,5,29.79,1:34.17,4,9.63,1:13.91,2,9.62,1:13.64
1,9.55,1:23.11,2,9.40,1:23.16,5,12.50,1:46.67,4,9.37,1:23.28,3,9.63,1:23.27
2,9.55,1:32.66,1,9.38,1:32.54,5,10.41,1:57.08,3,9.59,1:32.87,4,9.90,1:33.17
2,9.55,1:42.204,1,9.58,1:42.098,5,13.11,2:10.172,3,9.53,1:42.382,4,10.08,1:43.228
