Yevgen YAKOVLEV POSITION,Yevgen YAKOVLEV LAP TIME,Yevgen YAKOVLEV ELAPSED TIME,SONG Suk-Woo POSITION,SONG Suk-Woo LAP TIME,SONG Suk-Woo ELAPSED TIME,Krystian ZDROJKOWSKI POSITION,Krystian ZDROJKOWSKI LAP TIME,Krystian ZDROJKOWSKI ELAPSED TIME,Leon FLACK POSITION,Leon FLACK LAP TIME,Leon FLACK ELAPSED TIME
2,15.558,15.558,1,15.449,15.449,4,15.775,15.775,3,15.654,15.654
3,10.888,26.445,2,10.776,26.224,4,10.825,26.599,1,10.489,26.143
3,10.088,36.533,1,10.020,36.244,4,10.000,36.599,2,10.271,36.413
3,10.334,46.867,1,10.256,46.499,4,10.465,47.064,2,10.351,46.763
4,10.302,57.169,1,10.295,56.793,3,10.043,57.106,2,10.336,57.099
3,9.836,1:07.004,1,9.685,1:06.478,2,9.796,1:06.901,4,9.918,1:07.016
3,9.551,1:16.555,1,9.728,1:16.205,2,9.567,1:16.468,4,9.640,1:16.656
3,9.496,1:26.050,1,9.414,1:25.619,2,9.366,1:25.833,4,9.587,1:26.243
3,9.74,1:35.782,1,9.72,1:35.336,2,9.66,1:35.489,4,9.85,1:36.086
