Elisa CONFORTOLA POSITION,Elisa CONFORTOLA LAP TIME,Elisa CONFORTOLA ELAPSED TIME,AMIRGALIYEVA Aliya POSITION,AMIRGALIYEVA Aliya LAP TIME,AMIRGALIYEVA Aliya ELAPSED TIME,Rina YAMANA POSITION,Rina YAMANA LAP TIME,Rina YAMANA ELAPSED TIME,Ashley Sook Hui CHIN POSITION,Ashley Sook Hui CHIN LAP TIME,Ashley Sook Hui CHIN ELAPSED TIME,Selma POUTSMA POSITION,Selma POUTSMA LAP TIME,Selma POUTSMA ELAPSED TIME
2,7.75,7.75,3,7.84,7.84,4,7.95,7.95,5,8.89,8.89,1,7.33,7.33
2,9.95,17.70,3,10.01,17.85,4,10.00,17.95,5,10.97,19.86,1,9.55,16.88
2,9.49,27.19,4,9.60,27.45,3,9.35,27.30,5,10.39,30.25,1,9.14,26.02
2,9.67,36.86,4,9.66,37.11,3,9.63,36.93,5,10.51,40.76,1,9.26,35.28
3,10.15,47.01,4,9.95,47.06,2,9.78,46.71,5,10.73,51.49,1,9.51,44.79
