Tereza PFEIFEROVA POSITION,Tereza PFEIFEROVA LAP TIME,Tereza PFEIFEROVA ELAPSED TIME,STODDARD Corinne POSITION,STODDARD Corinne LAP TIME,STODDARD Corinne ELAPSED TIME,Aurelie LEVEQUE POSITION,Aurelie LEVEQUE LAP TIME,Aurelie LEVEQUE ELAPSED TIME,Hanna SOKOLOWSKA POSITION,Hanna SOKOLOWSKA LAP TIME,Hanna SOKOLOWSKA ELAPSED TIME
2,15.32,,4,15.62,15.62,1,15.20,15.20,3,15.44,15.44
2,11.44,,4,11.44,27.06,1,11.44,26.64,3,11.45,26.89
1,10.34,,4,10.54,37.60,2,10.63,37.27,3,10.55,37.44
1,9.97,,4,9.84,47.44,2,9.89,47.16,3,9.86,47.30
1,9.45,,4,9.64,57.08,3,9.79,56.95,2,9.53,56.83
1,9.39,,3,9.33,1:06.41,4,9.51,1:06.46,2,9.37,1:06.20
1,9.52,,2,9.22,1:15.63,4,9.62,1:16.08,3,9.48,1:15.68
2,9.79,,1,9.42,1:25.05,4,9.80,1:25.88,3,9.69,1:25.37
2,9.80,,1,9.53,1:34.58,4,10.10,1:35.98,3,9.75,1:35.12
