HOOGERWERF Dylan POSITION,HOOGERWERF Dylan LAP TIME,HOOGERWERF Dylan ELAPSED TIME,OLAH Bence POSITION,OLAH Bence LAP TIME,OLAH Bence ELAPSED TIME,Mateusz KRZEMINSKI POSITION,Mateusz KRZEMINSKI LAP TIME,Mateusz KRZEMINSKI ELAPSED TIME,EYBOG Daniil POSITION,EYBOG Daniil LAP TIME,EYBOG Daniil ELAPSED TIME,BLAIS Cedrik POSITION,BLAIS Cedrik LAP TIME,BLAIS Cedrik ELAPSED TIME
4,14.28,14.28,3,14.12,14.12,2,14.01,14.01,1,13.85,13.85,5,14.40,14.40
4,10.94,25.22,3,11.06,25.18,2,11.02,25.03,1,11.05,24.90,5,10.90,25.30
4,11.07,36.29,3,11.02,36.20,2,11.00,36.03,1,11.00,35.90,5,11.09,36.39
4,10.22,46.51,3,10.20,46.40,2,10.24,46.27,1,10.23,46.13,5,10.21,46.60
3,9.26,55.77,2,9.22,55.62,4,9.54,55.81,1,9.39,55.52,5,9.31,55.91
3,8.92,1:04.69,2,9.03,1:04.65,5,9.21,1:05.02,1,9.05,1:04.57,4,8.90,1:04.81
2,8.89,1:13.58,4,9.26,1:13.91,5,9.22,1:14.24,1,8.92,1:13.49,3,8.91,1:13.72
1,8.94,1:22.52,4,9.21,1:23.12,5,9.53,1:23.77,2,9.07,1:22.56,3,8.85,1:22.57
1,9.19,1:31.71,4,9.66,1:32.784,5,10.12,1:33.897,3,9.53,1:32.096,2,9.25,1:31.82
