Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME,Robert BECKER POSITION,Robert BECKER LAP TIME,Robert BECKER ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Andrej VALACH POSITION,Andrej VALACH LAP TIME,Andrej VALACH ELAPSED TIME,Marc-Andre MONETTE POSITION,Marc-Andre MONETTE LAP TIME,Marc-Andre MONETTE ELAPSED TIME,Ievgen GUTENOV POSITION,Ievgen GUTENOV LAP TIME,Ievgen GUTENOV ELAPSED TIME
5,8.45,8.45,2,8.01,8.01,4,8.41,8.41,6,8.64,8.64,3,8.35,8.35,1,7.96,7.96
6,10.91,19.37,2,10.98,18.99,5,10.91,19.32,3,10.58,19.22,4,10.90,19.26,1,10.91,18.87
6,10.54,29.91,1,10.26,29.26,5,10.53,29.86,3,10.37,29.59,4,10.42,29.68,2,10.59,29.47
6,10.59,40.51,1,10.77,40.03,5,10.55,40.41,3,10.69,40.29,4,10.63,40.31,2,10.67,40.15
5,10.85,51.36,1,10.87,50.90,6,11.03,51.44,4,11.03,51.32,3,10.90,51.21,2,10.97,51.12
2,9.99,1:01.35,1,10.41,1:01.32,6,10.33,1:01.78,4,10.30,1:01.63,5,10.42,1:01.64,3,10.37,1:01.50
2,9.75,1:11.11,1,9.65,1:10.98,6,9.72,1:11.50,5,9.86,1:11.49,3,9.55,1:11.20,4,9.81,1:11.32
1,9.55,1:20.66,3,9.77,1:20.75,4,9.43,1:20.94,6,9.72,1:21.22,2,9.46,1:20.67,5,9.76,1:21.08
2,9.75,1:30.42,3,9.69,1:30.45,4,9.71,1:30.65,6,9.63,1:30.85,1,9.54,1:30.21,5,9.65,1:30.73
3,9.72,1:40.14,1,9.63,1:40.09,4,9.65,1:40.31,6,9.74,1:40.60,2,9.91,1:40.12,5,9.67,1:40.41
3,9.60,1:49.74,2,9.65,1:49.74,4,9.52,1:49.83,6,9.62,1:50.23,1,9.47,1:49.59,5,9.60,1:50.01
2,9.70,1:59.45,3,9.74,1:59.48,4,9.76,1:59.60,6,9.86,2:00.10,1,9.40,1:59.00,5,9.81,1:59.83
3,9.74,2:09.19,5,9.85,2:09.34,4,9.70,2:09.30,2,8.56,2:08.66,1,9.64,2:08.65,6,10.01,2:09.84
4,10.55,2:19.735,3,10.26,2:19.592,2,10.01,2:19.304,6,11.96,2:20.616,1,10.07,2:18.716,5,10.58,2:20.414
