Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME,LI Jianrou POSITION,LI Jianrou LAP TIME,LI Jianrou ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME
4,14.40,14.40,3,14.39,14.39,2,14.35,14.35,1,14.24,14.24
3,11.03,25.43,1,10.81,25.20,2,10.95,25.30,4,11.20,25.44
1,10.53,35.96,2,10.93,36.13,3,11.00,36.30,4,10.97,36.41
1,10.16,46.12,2,10.08,46.21,3,10.00,46.30,4,9.99,46.40
1,10.06,56.18,2,10.12,56.33,3,10.10,56.40,4,10.11,56.51
1,9.76,1:05.94,3,9.77,1:06.10,2,9.69,1:06.09,4,9.69,1:06.20
3,10.09,1:16.03,4,10.04,1:16.14,1,9.50,1:15.59,2,9.60,1:15.80
3,9.81,1:25.84,4,10.21,1:26.35,1,9.46,1:25.05,2,9.44,1:25.24
3,10.27,1:36.110,4,11.18,1:37.524,1,9.83,1:34.877,2,9.79,1:35.021
