Andrea KESZLER POSITION,Andrea KESZLER LAP TIME,Andrea KESZLER ELAPSED TIME,Mariya IZAFATAVA POSITION,Mariya IZAFATAVA LAP TIME,Mariya IZAFATAVA ELAPSED TIME,DAUDET Gwendoline POSITION,DAUDET Gwendoline LAP TIME,DAUDET Gwendoline ELAPSED TIME,SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME,UZAKOVA Mariia-Mahdalyna POSITION,UZAKOVA Mariia-Mahdalyna LAP TIME,UZAKOVA Mariia-Mahdalyna ELAPSED TIME,Iong A KIM POSITION,Iong A KIM LAP TIME,Iong A KIM ELAPSED TIME
2,9.86,9.86,4,10.19,10.19,5,10.40,10.40,6,10.58,10.58,1,9.72,9.72,3,10.02,10.02,7,10.77,10.77
2,13.53,23.39,4,13.36,23.55,5,13.30,23.70,6,13.20,23.78,1,13.52,23.24,3,13.47,23.49,7,13.16,23.93
2,13.37,36.76,1,12.99,36.54,5,13.62,37.32,6,13.69,37.47,3,13.75,36.99,4,13.63,37.12,7,13.73,37.66
2,11.61,48.37,1,11.67,48.21,5,11.55,48.87,6,11.51,48.98,3,11.63,48.62,4,11.62,48.74,7,11.44,49.10
2,11.33,59.70,1,11.40,59.61,5,11.31,1:00.18,6,11.27,1:00.25,3,11.30,59.92,4,11.30,1:00.04,7,11.28,1:00.38
2,11.27,1:10.97,1,11.26,1:10.87,5,11.16,1:11.34,6,11.19,1:11.44,4,11.21,1:11.13,3,11.06,1:11.10,7,11.18,1:11.56
2,11.05,1:22.02,1,11.00,1:21.87,5,11.05,1:22.39,6,11.06,1:22.50,4,11.13,1:22.26,3,11.06,1:22.16,7,11.05,1:22.61
2,10.30,1:32.32,1,10.33,1:32.20,5,10.25,1:32.64,6,10.23,1:32.73,4,10.28,1:32.54,3,10.26,1:32.42,7,10.24,1:32.85
1,9.84,1:42.16,2,10.04,1:42.24,5,9.92,1:42.56,6,9.93,1:42.66,4,9.89,1:42.43,3,10.00,1:42.42,7,9.92,1:42.77
1,9.69,1:51.85,2,9.73,1:51.97,4,9.59,1:52.15,5,9.65,1:52.31,3,9.55,1:51.98,5,9.89,1:52.31,7,9.63,1:52.40
3,9.78,2:01.63,5,9.91,2:01.88,6,9.78,2:01.93,2,9.22,2:01.53,1,9.54,2:01.52,7,9.92,2:02.23,4,9.39,2:01.79
4,9.73,2:11.36,5,9.98,2:11.86,6,10.42,2:12.35,1,9.46,2:10.99,3,9.72,2:11.24,7,11.24,2:13.47,2,9.36,2:11.15
4,9.91,2:21.27,5,10.18,2:22.04,6,10.20,2:22.55,1,9.37,2:20.36,3,9.84,2:21.08,7,10.90,2:24.37,2,9.35,2:20.50
4,10.26,2:31.537,5,10.40,2:32.447,6,10.18,2:32.735,1,9.51,2:29.87,3,9.84,2:30.921,7,11.07,2:35.442,2,9.52,2:30.02
