Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME,Lucas NG POSITION,Lucas NG LAP TIME,Lucas NG ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME
2,7.17,7.17,1,7.00,7.00,4,7.57,7.57,3,7.33,7.33
2,9.04,16.21,1,9.14,16.14,4,9.93,17.50,3,9.11,16.44
1,8.63,24.84,3,9.40,25.54,4,9.82,27.32,2,8.50,24.94
2,8.77,33.61,3,9.47,35.01,4,9.78,37.10,1,8.66,33.60
4,19.03,52.638,2,9.71,44.717,3,10.04,47.135,1,9.08,42.678
