START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,START_POS_8 POSITION,START_POS_8 LAP TIME,START_POS_8 ELAPSED TIME,season,competition,event,gender,round,race
1,10.00,10.00,3,10.12,10.12,5,10.24,10.24,4,10.23,10.23,6,10.25,10.25,2,10.04,10.04,8,10.50,10.50,7,10.33,10.33,2015-2016,ISU World Cup 2015/16 - Nagoya (JPN),1500m,w,Heats,3
5,13.15,23.15,6,13.21,23.33,4,12.77,23.01,2,12.66,22.89,7,13.15,23.40,2,12.85,22.89,1,12.30,22.80,8,13.28,23.61,2015-2016,ISU World Cup 2015/16 - Nagoya (JPN),1500m,w,Heats,3
7,12.57,35.72,4,12.04,35.37,6,12.55,35.56,2,12.31,35.20,5,12.05,35.45,3,12.47,35.36,1,12.31,35.11,8,12.23,35.84,2015-2016,ISU World Cup 2015/16 - Nagoya (JPN),1500m,w,Heats,3
7,12.27,47.99,1,11.78,47.15,6,12.29,47.85,3,12.09,47.29,5,12.05,47.50,4,12.02,47.38,2,12.12,47.23,8,12.21,48.05,2015-2016,ISU World Cup 2015/16 - Nagoya (JPN),1500m,w,Heats,3
8,11.29,59.28,2,11.46,58.61,7,11.29,59.14,4,11.52,58.81,6,11.43,58.93,1,11.05,58.43,3,11.45,58.68,5,10.81,58.86,2015-2016,ISU World Cup 2015/16 - Nagoya (JPN),1500m,w,Heats,3
8,10.76,1:10.04,2,10.99,1:09.60,6,10.77,1:09.91,4,10.95,1:09.76,5,10.94,1:09.87,1,11.06,1:09.49,3,11.00,1:09.68,7,11.12,1:09.98,2015-2016,ISU World Cup 2015/16 - Nagoya (JPN),1500m,w,Heats,3
4,10.02,1:20.06,2,10.27,1:19.87,1,9.80,1:19.71,6,10.57,1:20.33,7,10.47,1:20.34,3,10.49,1:19.98,5,10.43,1:20.11,8,10.39,1:20.37,2015-2016,ISU World Cup 2015/16 - Nagoya (JPN),1500m,w,Heats,3
4,10.45,1:30.51,2,10.40,1:30.27,1,10.45,1:30.16,6,10.37,1:30.70,7,10.46,1:30.80,3,10.39,1:30.37,5,10.50,1:30.61,8,10.55,1:30.92,2015-2016,ISU World Cup 2015/16 - Nagoya (JPN),1500m,w,Heats,3
4,10.23,1:40.74,2,10.26,1:40.53,1,10.27,1:40.43,6,10.26,1:40.96,7,10.34,1:41.14,3,10.27,1:40.64,5,10.15,1:40.76,8,10.23,1:41.15,2015-2016,ISU World Cup 2015/16 - Nagoya (JPN),1500m,w,Heats,3
4,9.98,1:50.72,2,9.93,1:50.46,1,9.91,1:50.34,6,9.92,1:50.88,8,9.96,1:51.10,3,9.92,1:50.56,5,10.05,1:50.81,7,9.77,1:50.92,2015-2016,ISU World Cup 2015/16 - Nagoya (JPN),1500m,w,Heats,3
4,9.79,2:00.51,2,9.82,2:00.28,1,9.87,2:00.21,7,10.13,2:01.01,8,10.14,2:01.24,3,9.82,2:00.38,5,9.80,2:00.61,6,9.74,2:00.66,2015-2016,ISU World Cup 2015/16 - Nagoya (JPN),1500m,w,Heats,3
4,9.77,2:10.28,2,9.75,2:10.03,1,9.70,2:09.91,7,10.24,2:11.25,8,10.43,2:11.67,3,9.77,2:10.15,5,9.82,2:10.43,6,10.05,2:10.71,2015-2016,ISU World Cup 2015/16 - Nagoya (JPN),1500m,w,Heats,3
4,9.68,2:19.96,2,9.77,2:19.80,1,9.77,2:19.68,7,10.59,2:21.84,8,10.79,2:22.46,3,9.76,2:19.91,5,9.89,2:20.32,6,10.24,2:20.95,2015-2016,ISU World Cup 2015/16 - Nagoya (JPN),1500m,w,Heats,3
3,9.92,2:29.88,2,9.95,2:29.75,1,10.00,2:29.68,7,10.97,2:32.81,8,11.03,2:33.49,4,10.18,2:30.09,5,10.35,2:30.67,6,10.81,2:31.76,2015-2016,ISU World Cup 2015/16 - Nagoya (JPN),1500m,w,Heats,3
