LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,Oleksiy KOSHELENKO POSITION,Oleksiy KOSHELENKO LAP TIME,Oleksiy KOSHELENKO ELAPSED TIME
1,6.74,6.74,2,6.93,6.93,3,7.02,7.02,4,7.17,7.17
1,9.00,15.74,2,8.96,15.89,3,8.96,15.98,4,8.94,16.11
1,8.70,24.44,2,8.66,24.55,3,8.65,24.63,4,8.66,24.77
2,8.82,33.26,3,8.94,33.49,1,8.58,33.21,4,8.86,33.63
3,9.26,42.519,2,8.75,42.232,1,8.89,42.100,4,9.18,42.803
