Billy SIMMS POSITION,Billy SIMMS LAP TIME,Billy SIMMS ELAPSED TIME,JUNG Hyun Woo (Andy) POSITION,JUNG Hyun Woo (Andy) LAP TIME,JUNG Hyun Woo (Andy) ELAPSED TIME,Zachary BIGGS POSITION,Zachary BIGGS LAP TIME,Zachary BIGGS ELAPSED TIME,NIESCIER Karol POSITION,NIESCIER Karol LAP TIME,NIESCIER Karol ELAPSED TIME
1,14.62,14.62,3,14.84,,2,14.73,14.73,4,14.96,14.96
1,12.01,26.63,3,12.09,,2,12.01,26.74,4,12.10,27.06
1,11.14,37.77,3,11.12,,2,11.13,37.87,4,11.11,38.17
1,10.51,48.28,3,10.45,,2,10.42,48.29,4,10.47,48.64
2,9.51,57.79,3,9.43,,1,9.37,57.66,4,9.92,58.56
2,9.07,1:06.86,3,8.94,,1,9.12,1:06.78,4,10.16,1:08.72
2,9.08,1:15.94,1,9.06,,3,9.81,1:16.59,4,10.69,1:19.41
2,9.23,1:25.17,1,9.06,,3,9.23,1:25.82,4,11.15,1:30.56
2,9.26,1:34.43,1,9.17,,3,9.37,1:35.19,3,10.76,1:41.305
