KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME,YU Yongjun POSITION,YU Yongjun LAP TIME,YU Yongjun ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,Michael GILDAY POSITION,Michael GILDAY LAP TIME,Michael GILDAY ELAPSED TIME,SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME
1,9.11,9.11,2,9.34,9.34,5,9.66,9.66,3,9.51,9.51,6,9.88,9.88,4,9.60,9.60
2,11.80,20.91,4,11.73,21.07,5,11.58,21.24,3,11.52,21.03,6,11.54,21.42,1,11.12,20.72
2,11.09,32.00,4,11.19,32.26,5,11.13,32.37,3,11.12,32.15,6,11.06,32.48,1,11.15,31.87
1,10.94,42.94,5,11.06,43.32,6,11.07,43.44,4,11.06,43.21,3,10.69,43.17,2,11.07,42.94
2,9.83,52.77,3,9.46,52.78,6,9.56,53.00,5,9.78,52.99,4,9.71,52.88,1,9.68,52.62
4,9.55,1:02.32,1,9.33,1:02.11,2,9.18,1:02.18,6,9.52,1:02.51,5,9.55,1:02.43,3,9.65,1:02.27
4,10.01,1:12.33,1,9.89,1:12.00,2,9.93,1:12.11,6,10.03,1:12.54,5,10.02,1:12.45,3,9.98,1:12.25
3,9.63,1:21.96,1,9.71,1:21.71,2,9.72,1:21.83,6,9.56,1:22.10,4,9.52,1:21.97,5,9.73,1:21.98
3,9.24,1:31.20,1,9.28,1:30.99,6,13.57,1:35.40,4,9.24,1:31.34,2,9.07,1:31.04,5,9.43,1:31.41
4,9.49,1:40.69,1,9.35,1:40.34,6,16.64,1:52.04,3,9.19,1:40.53,2,9.41,1:40.45,5,9.58,1:40.99
4,9.45,1:50.14,1,9.48,1:49.82,6,10.96,2:03.00,3,9.52,1:50.05,2,9.51,1:49.96,5,9.54,1:50.53
4,9.33,1:59.47,1,9.36,1:59.18,6,10.66,2:13.66,3,9.34,1:59.39,2,9.34,1:59.30,5,9.92,2:00.45
4,9.31,2:08.78,1,9.31,2:08.49,6,10.64,2:24.30,3,9.30,2:08.69,2,9.31,2:08.61,5,10.23,2:10.68
3,9.29,2:18.067,1,9.35,2:17.837,6,10.72,2:35.018,4,9.40,2:18.088,2,9.42,2:18.024,5,11.21,2:21.887
