Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME,HAN Jialiang POSITION,HAN Jialiang LAP TIME,HAN Jialiang ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME
2,6.66,6.66,1,6.64,6.64,3,6.70,6.70,4,6.95,6.95
1,8.90,15.56,2,9.05,15.69,3,9.00,15.70,4,8.94,15.89
1,8.66,24.22,2,8.55,24.25,3,8.68,24.39,4,8.66,24.55
2,8.63,32.86,1,8.48,32.73,3,8.65,33.04,4,8.60,33.15
3,9.27,42.130,1,9.11,41.838,2,8.96,41.992,4,9.17,42.316
