Michael KOCH POSITION,Michael KOCH LAP TIME,Michael KOCH ELAPSED TIME,Elliott SHRIANE POSITION,Elliott SHRIANE LAP TIME,Elliott SHRIANE ELAPSED TIME,Volodymyr CHERNEGA POSITION,Volodymyr CHERNEGA LAP TIME,Volodymyr CHERNEGA ELAPSED TIME,SUI Bao Ku POSITION,SUI Bao Ku LAP TIME,SUI Bao Ku ELAPSED TIME
1,17.009,17.009,3,17.097,17.097,4,17.436,17.436,2,17.071,17.071
1,10.985,27.994,3,11.061,28.157,4,11.004,28.440,2,10.943,28.014
2,10.160,38.153,3,10.134,38.291,4,10.003,38.443,1,10.051,38.064
2,10.036,48.188,3,10.124,48.415,4,10.142,48.585,1,9.850,47.914
3,10.157,58.345,2,9.899,58.314,4,9.988,58.572,1,10.231,58.144
4,10.053,1:08.398,2,9.588,1:07.902,3,9.609,1:08.181,1,9.604,1:07.748
4,10.518,1:18.915,1,9.550,1:17.451,3,10.271,1:18.452,2,9.716,1:17.463
4,11.449,1:30.364,2,9.828,1:27.279,3,9.162,1:27.613,1,9.685,1:27.148
4,12.42,1:42.779,3,10.39,1:37.660,2,9.91,1:37.523,1,10.25,1:37.395
