Mika OZAWA POSITION,Mika OZAWA LAP TIME,Mika OZAWA ELAPSED TIME,Ranya EZZI POSITION,Ranya EZZI LAP TIME,Ranya EZZI ELAPSED TIME,Olga MASKAIKINA POSITION,Olga MASKAIKINA LAP TIME,Olga MASKAIKINA ELAPSED TIME,Katalin KRISTO POSITION,Katalin KRISTO LAP TIME,Katalin KRISTO ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Veronika DENES POSITION,Veronika DENES LAP TIME,Veronika DENES ELAPSED TIME
2,8.63,8.63,1,8.49,8.49,3,8.70,8.70,5,8.96,8.96,0,,,4,8.88,8.88
2,12.02,20.65,3,12.22,20.71,1,11.80,20.51,5,12.07,21.03,0,,,4,11.86,20.74
1,11.20,31.86,3,11.18,31.90,4,11.50,32.01,5,11.10,32.14,0,,,2,11.14,31.89
1,11.13,42.99,4,11.19,43.10,3,11.05,43.07,5,11.19,43.33,0,,,2,11.12,43.01
2,12.35,55.34,3,12.28,55.38,4,12.47,55.54,5,12.23,55.57,0,,,1,12.32,55.34
3,11.03,1:06.38,2,10.96,1:06.35,4,10.87,1:06.42,1,10.59,1:06.16,0,,,5,11.42,1:06.76
3,10.35,1:16.73,2,10.35,1:16.70,4,10.37,1:16.80,1,10.38,1:16.55,0,,,5,11.25,1:18.01
3,10.84,1:27.57,2,10.82,1:27.53,4,10.84,1:27.64,1,10.71,1:27.26,0,,,5,12.23,1:30.25
2,10.28,1:37.86,3,10.37,1:37.91,4,10.28,1:37.93,1,10.48,1:37.75,0,,,5,13.10,1:43.36
3,10.52,1:48.38,2,10.47,1:48.38,4,10.50,1:48.43,1,10.51,1:48.27,0,,,5,12.72,1:56.08
3,10.51,1:58.90,2,10.39,1:58.77,4,10.51,1:58.94,1,10.44,1:58.71,0,,,5,12.33,2:08.42
1,9.78,2:08.68,3,10.23,2:09.00,4,10.10,2:09.05,2,10.22,2:08.93,0,,,5,12.70,2:21.12
1,9.98,2:18.66,3,10.09,2:19.09,4,10.36,2:19.41,2,10.00,2:18.94,0,,,5,12.79,2:33.92
1,10.39,2:29.045,3,10.19,2:29.273,4,11.48,2:30.881,2,10.19,2:29.127,0,,DNS,5,13.10,2:47.018
