Dione Shu Yen TAN POSITION,Dione Shu Yen TAN LAP TIME,Dione Shu Yen TAN ELAPSED TIME,DUBROVA Uliana POSITION,DUBROVA Uliana LAP TIME,DUBROVA Uliana ELAPSED TIME,CHANG Hui POSITION,CHANG Hui LAP TIME,CHANG Hui ELAPSED TIME,Ina LES POSITION,Ina LES LAP TIME,Ina LES ELAPSED TIME,VOLKOVITSKAYA Alyona POSITION,VOLKOVITSKAYA Alyona LAP TIME,VOLKOVITSKAYA Alyona ELAPSED TIME
4,20.11,20.11,5,20.28,20.28,1,19.63,19.63,2,19.75,19.75,3,19.94,19.94
3,13.50,33.61,5,13.50,33.78,1,13.82,33.45,3,13.86,33.61,2,13.64,33.58
5,11.25,44.86,4,10.95,44.73,1,11.01,44.46,3,11.03,44.64,2,11.00,44.58
5,10.59,55.45,4,10.59,55.32,1,10.55,55.01,3,10.59,55.23,2,10.52,55.10
5,10.43,1:05.88,3,10.34,1:05.66,2,10.36,1:05.37,4,10.62,1:05.85,1,10.14,1:05.24
4,10.33,1:16.21,3,10.17,1:15.83,2,10.19,1:15.56,5,10.83,1:16.68,1,9.78,1:15.02
4,10.24,1:26.45,3,10.20,1:26.03,2,10.26,1:25.82,5,11.21,1:27.89,1,9.86,1:24.88
4,10.50,1:36.95,3,10.53,1:36.56,2,10.61,1:36.43,5,11.58,1:39.47,1,10.18,1:35.06
4,11.14,1:48.094,3,10.83,1:47.391,2,10.68,1:47.116,5,11.93,1:51.405,1,10.67,1:45.733
