CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Sergey PRANKEVICH POSITION,Sergey PRANKEVICH LAP TIME,Sergey PRANKEVICH ELAPSED TIME,Jeremy MASSON POSITION,Jeremy MASSON LAP TIME,Jeremy MASSON ELAPSED TIME,Ondrej SUCHY POSITION,Ondrej SUCHY LAP TIME,Ondrej SUCHY ELAPSED TIME
2,7.08,7.08,1,6.71,6.71,3,7.08,7.08,4,7.21,7.21
4,9.07,16.15,1,8.99,15.70,2,8.90,15.98,3,8.92,16.13
2,8.28,24.43,1,8.68,24.38,3,8.51,24.49,4,8.50,24.63
1,8.60,33.03,4,16.78,41.16,3,14.06,38.55,2,8.84,33.47
1,9.08,42.106,4,12.65,53.810,3,11.55,50.097,2,9.38,42.847
