Rusty SMITH POSITION,Rusty SMITH LAP TIME,Rusty SMITH ELAPSED TIME,Oliver HORSEPOOL POSITION,Oliver HORSEPOOL LAP TIME,Oliver HORSEPOOL ELAPSED TIME,Yoshiharu ARINO POSITION,Yoshiharu ARINO LAP TIME,Yoshiharu ARINO ELAPSED TIME,Matthew FULLER POSITION,Matthew FULLER LAP TIME,Matthew FULLER ELAPSED TIME,AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME
2,8.667,8.667,1,8.491,8.491,4,8.852,8.852,3,8.687,8.687,5,8.993,8.993
2,11.480,20.147,3,11.680,20.170,1,11.062,19.914,4,11.723,20.410,5,11.570,20.563
3,10.122,30.268,4,10.102,30.271,2,10.287,30.200,1,9.772,30.182,5,9.818,30.381
3,10.540,40.808,2,10.441,40.712,1,10.390,40.589,5,10.945,41.126,4,10.538,40.918
3,10.605,51.413,1,10.537,51.248,2,10.666,51.255,5,10.478,51.604,4,10.572,51.489
3,10.281,1:01.693,1,10.394,1:01.642,2,10.432,1:01.687,5,10.426,1:02.030,4,10.397,1:01.885
1,10.109,1:11.802,3,10.245,1:11.886,2,10.132,1:11.818,5,10.100,1:12.130,4,10.148,1:12.033
2,10.123,1:21.925,3,10.155,1:22.040,1,9.998,1:21.816,5,10.049,1:22.178,4,10.034,1:22.067
4,10.299,1:32.223,2,10.001,1:32.041,1,10.106,1:31.921,5,10.092,1:32.270,3,10.119,1:32.185
1,9.693,1:41.915,4,10.166,1:42.206,2,10.035,1:41.955,5,10.057,1:42.326,3,9.921,1:42.105
1,9.739,1:51.654,4,9.990,1:52.196,2,9.893,1:51.848,5,10.086,1:52.412,3,10.043,1:52.148
1,9.708,2:01.361,4,10.041,2:02.237,2,9.795,2:01.643,5,9.973,2:02.385,3,9.577,2:01.725
2,9.794,2:11.155,5,10.191,2:12.427,3,9.867,2:11.510,4,10.026,2:12.410,1,9.160,2:10.884
2,9.88,2:21.028,4,10.33,2:22.749,3,10.13,2:21.635,5,10.40,2:22.809,1,9.44,2:20.316
