BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,Selim TANRIKULU POSITION,Selim TANRIKULU LAP TIME,Selim TANRIKULU ELAPSED TIME,Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME,Zachary BIGGS POSITION,Zachary BIGGS LAP TIME,Zachary BIGGS ELAPSED TIME,CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME
2,13.89,13.89,4,14.13,14.13,3,13.99,13.99,5,14.28,14.28,1,13.73,13.73
2,10.82,24.71,4,10.75,24.88,3,10.82,24.81,5,10.70,24.98,1,10.88,24.61
2,10.95,35.66,5,11.10,35.98,4,11.06,35.87,3,10.78,35.76,1,10.95,35.56
2,10.76,46.42,5,10.57,46.55,3,10.61,46.48,4,10.76,46.52,1,10.78,46.34
3,9.92,56.34,5,9.94,56.49,2,9.77,56.25,4,9.96,56.48,1,9.80,56.14
3,9.32,1:05.66,5,9.63,1:06.12,2,9.34,1:05.59,4,9.41,1:05.89,1,9.37,1:05.51
3,9.30,1:14.96,4,9.40,1:15.52,1,9.13,1:14.72,5,9.82,1:15.71,2,9.24,1:14.75
3,9.23,1:24.19,4,9.71,1:25.23,1,8.92,1:23.64,5,23.75,1:39.46,2,9.26,1:24.01
3,10.69,1:34.879,4,10.13,1:35.356,1,9.03,1:32.663,5,14.76,1:54.217,2,9.38,1:33.388
