Declan HISCOX POSITION,Declan HISCOX LAP TIME,Declan HISCOX ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Aliaksandr ANTANENKA POSITION,Aliaksandr ANTANENKA LAP TIME,Aliaksandr ANTANENKA ELAPSED TIME
1,7.15,7.15,3,7.50,7.50,2,7.27,7.27,4,7.63,7.63
3,9.68,16.83,2,9.31,16.81,1,9.31,16.58,4,9.38,17.01
3,9.21,26.04,2,8.94,25.75,1,8.90,25.48,4,9.06,26.07
4,9.39,35.43,2,9.06,34.81,1,8.93,34.41,3,9.18,35.25
4,9.43,44.854,2,9.31,44.113,1,9.26,43.668,3,9.40,44.643
