Mark PRINSEN POSITION,Mark PRINSEN LAP TIME,Mark PRINSEN ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,MA Xingguang POSITION,MA Xingguang LAP TIME,MA Xingguang ELAPSED TIME,Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME
1,12.93,12.93,2,13.10,13.10,3,13.19,13.19,4,13.34,13.34,5,13.50,13.50
2,10.23,23.16,1,10.01,23.11,2,9.97,23.16,5,10.07,23.41,4,9.89,23.39
3,9.66,32.82,2,9.60,32.71,1,9.40,32.56,5,9.69,33.10,4,9.56,32.95
3,9.14,41.96,2,9.16,41.87,1,9.18,41.74,5,9.10,42.20,4,9.13,42.08
3,9.03,50.99,2,9.02,50.89,1,9.05,50.79,5,9.09,51.29,4,9.03,51.11
3,9.00,59.99,1,8.88,59.77,2,9.07,59.86,5,8.94,1:00.23,3,8.88,59.99
5,9.60,1:09.59,1,9.09,1:08.86,2,9.24,1:09.10,4,9.34,1:09.57,3,9.29,1:09.28
5,9.50,1:19.09,1,9.06,1:17.92,2,8.98,1:18.08,4,9.37,1:18.94,3,9.07,1:18.35
5,9.46,1:28.55,1,9.04,1:26.96,2,9.14,1:27.22,4,9.49,1:28.43,3,9.24,1:27.59
