YANG Yang POSITION,YANG Yang LAP TIME,YANG Yang ELAPSED TIME,Oliwia GAWLICA POSITION,Oliwia GAWLICA LAP TIME,Oliwia GAWLICA ELAPSED TIME,KIKUCHI Sumire POSITION,KIKUCHI Sumire LAP TIME,KIKUCHI Sumire ELAPSED TIME,MYKHALCHUK Diana POSITION,MYKHALCHUK Diana LAP TIME,MYKHALCHUK Diana ELAPSED TIME,HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME,Namasthee HARRIS-GAUTHIER POSITION,Namasthee HARRIS-GAUTHIER LAP TIME,Namasthee HARRIS-GAUTHIER ELAPSED TIME,PENCHEVA Zornica POSITION,PENCHEVA Zornica LAP TIME,PENCHEVA Zornica ELAPSED TIME
6,11.06,11.06,4,10.68,10.68,5,10.81,10.81,2,10.62,10.62,3,10.63,,1,10.50,10.50,7,11.22,11.22
7,13.88,24.94,4,14.03,24.71,5,14.02,24.83,1,13.66,24.28,2,13.78,,3,14.11,24.61,6,13.71,24.93
2,11.70,36.64,6,12.60,37.31,1,11.46,36.29,3,12.59,36.87,4,12.58,,5,12.55,37.16,7,12.51,37.44
2,11.45,48.09,4,10.93,48.24,1,11.54,47.83,5,11.65,48.52,7,17.92,,2,10.93,48.09,5,11.08,48.52
3,11.51,59.60,4,11.45,59.69,1,11.46,59.29,5,11.22,59.74,7,10.44,,2,11.36,59.45,6,11.34,59.86
3,11.20,1:10.80,4,11.25,1:10.94,1,11.22,1:10.51,5,11.39,1:11.13,7,9.71,,2,11.22,1:10.67,6,11.30,1:11.16
3,10.44,1:21.24,4,10.44,1:21.38,1,10.45,1:20.96,5,10.61,1:21.74,7,9.73,,2,10.41,1:21.08,6,10.64,1:21.80
2,9.63,1:30.87,4,9.77,1:31.15,3,9.93,1:30.89,6,10.77,1:32.51,7,9.98,,1,9.69,1:30.77,5,10.34,1:32.14
1,9.45,1:40.32,4,9.48,1:40.63,3,9.65,1:40.54,6,10.91,1:43.42,7,10.45,,2,9.66,1:40.43,5,10.31,1:42.45
1,9.86,1:50.18,4,9.83,1:50.46,3,9.79,1:50.33,6,11.06,1:54.48,7,10.87,,2,9.76,1:50.19,5,10.57,1:53.02
2,9.72,1:59.90,4,9.73,2:00.19,3,9.75,2:00.08,6,11.39,2:05.87,7,11.45,,1,9.52,1:59.71,5,10.94,2:03.96
2,9.62,2:09.52,4,9.81,2:10.00,3,9.61,2:09.69,6,11.48,2:17.35,7,12.40,,1,9.71,2:09.42,5,11.36,2:15.32
2,9.85,2:19.37,4,10.18,2:20.18,3,9.80,2:19.49,6,11.89,2:29.24,7,12.47,,1,9.84,2:19.26,5,11.82,2:27.14
0,,PHOTO,4,10.77,2:30.95,0,,PHOTO,6,12.54,2:41.78,7,12.45,,1,10.08,2:29.34,5,12.45,2:39.59
