Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Ayuko ITO POSITION,Ayuko ITO LAP TIME,Ayuko ITO ELAPSED TIME,Marie YOSHIDA POSITION,Marie YOSHIDA LAP TIME,Marie YOSHIDA ELAPSED TIME,Marie-Eve DROLET POSITION,Marie-Eve DROLET LAP TIME,Marie-Eve DROLET ELAPSED TIME,Jessica HEWITT POSITION,Jessica HEWITT LAP TIME,Jessica HEWITT ELAPSED TIME,Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME
5,8.87,8.87,2,8.65,8.65,4,8.76,8.76,1,8.61,8.61,3,8.71,8.71,6,9.07,9.07
5,12.01,20.88,3,12.01,20.66,4,12.03,20.79,2,11.94,20.55,1,11.76,20.47,6,11.96,21.03
5,11.46,32.34,3,11.45,32.11,4,11.44,32.23,2,11.45,32.00,1,11.42,31.89,6,11.46,32.49
2,10.76,43.10,4,11.21,43.32,5,11.18,43.41,3,11.19,43.19,1,11.11,43.00,6,11.07,43.56
2,10.99,54.09,4,11.02,54.34,5,11.03,54.44,3,11.03,54.22,1,10.99,53.99,6,10.99,54.55
2,10.95,1:05.04,4,10.86,1:05.20,5,10.85,1:05.29,3,10.90,1:05.12,1,10.94,1:04.93,6,10.90,1:05.45
2,10.61,1:15.65,4,10.61,1:15.81,5,10.61,1:15.90,3,10.61,1:15.73,1,10.62,1:15.55,6,10.55,1:16.00
2,10.50,1:26.15,4,10.49,1:26.30,5,10.53,1:26.43,3,10.48,1:26.21,1,10.48,1:26.03,6,10.56,1:26.56
3,9.90,1:36.05,2,9.74,1:36.04,5,9.81,1:36.24,1,9.70,1:35.91,4,10.04,1:36.07,6,9.81,1:36.37
2,9.78,1:45.83,3,9.88,1:45.92,5,9.92,1:46.16,1,9.81,1:45.72,4,10.00,1:46.07,6,9.88,1:46.25
2,9.84,1:55.67,3,9.91,1:55.83,5,9.99,1:56.15,1,9.94,1:55.66,4,10.01,1:56.08,6,10.05,1:56.30
1,9.73,2:05.40,3,9.78,2:05.61,5,9.94,2:06.09,2,9.82,2:05.48,4,9.94,2:06.02,6,9.88,2:06.18
3,10.06,2:15.46,2,9.80,2:15.41,4,9.99,2:16.08,1,9.84,2:15.32,5,10.25,2:16.27,6,10.16,2:16.34
2,10.02,2:25.478,3,10.19,2:25.592,4,10.26,2:26.334,1,10.06,2:25.378,6,10.72,2:26.983,5,10.20,2:26.539
