CHEN Dequan POSITION,CHEN Dequan LAP TIME,CHEN Dequan ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,Jonas KAUFMANN-LUDWIG POSITION,Jonas KAUFMANN-LUDWIG LAP TIME,Jonas KAUFMANN-LUDWIG ELAPSED TIME,Oleksandr ZHELTONOG POSITION,Oleksandr ZHELTONOG LAP TIME,Oleksandr ZHELTONOG ELAPSED TIME
2,13.73,13.73,3,13.82,13.82,1,13.59,13.59,4,13.84,13.84
3,10.12,23.85,4,10.20,24.02,2,10.16,23.75,1,9.66,23.50
1,9.30,33.15,3,9.22,33.24,4,9.50,33.25,2,9.70,33.20
3,27.52,1:00.67,4,30.39,1:03.63,2,10.53,43.78,1,10.34,43.54
4,14.73,1:15.40,3,9.94,1:13.57,2,9.54,53.32,1,9.66,53.20
4,10.58,1:25.98,3,9.78,1:23.35,2,9.79,1:03.11,1,9.81,1:03.01
4,9.89,1:35.87,3,10.34,1:33.69,2,10.04,1:13.15,1,10.05,1:13.06
4,9.84,1:45.71,3,10.04,1:43.73,1,9.85,1:23.00,2,10.16,1:23.22
3,9.90,1:55.609,0,,PEN,1,9.97,1:32.968,2,10.34,1:33.559
