ANIKEJ Rafal POSITION,ANIKEJ Rafal LAP TIME,ANIKEJ Rafal ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,DESMET Stijn POSITION,DESMET Stijn LAP TIME,DESMET Stijn ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME
5,14.02,14.02,3,13.72,,1,13.60,13.60,4,13.86,13.86,2,13.61,13.61
5,9.85,23.87,4,10.01,,3,10.01,23.61,1,9.63,23.49,2,9.89,23.50
5,9.47,33.34,4,9.49,,3,9.51,33.12,1,9.39,32.88,2,9.50,33.00
5,9.62,42.96,4,9.62,,3,9.62,42.74,1,9.68,42.56,2,9.63,42.63
5,9.39,52.35,4,9.35,,2,9.31,52.05,2,9.49,52.05,1,9.34,51.97
4,9.01,1:01.36,3,9.02,,2,9.10,1:01.15,5,9.36,1:01.41,1,9.08,1:01.05
4,9.05,1:10.41,3,9.08,,2,8.96,1:10.11,5,9.16,1:10.57,1,8.94,1:09.99
4,8.85,1:19.26,3,8.91,,2,8.81,1:18.92,5,9.02,1:19.59,1,8.84,1:18.83
3,9.00,1:28.268,3,9.01,,2,8.88,1:27.80,5,9.37,1:28.96,1,8.86,1:27.69
