Alica PORUBSKA POSITION,Alica PORUBSKA LAP TIME,Alica PORUBSKA ELAPSED TIME,Inna SIMONOVA POSITION,Inna SIMONOVA LAP TIME,Inna SIMONOVA ELAPSED TIME,Alix-Myra ANDERSON POSITION,Alix-Myra ANDERSON LAP TIME,Alix-Myra ANDERSON ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME
4,9.93,9.93,2,9.79,9.79,5,10.14,10.14,3,9.83,9.83,1,9.74,9.74
5,13.48,23.41,3,13.51,23.30,4,13.19,23.33,1,13.16,22.99,2,13.44,23.18
5,12.37,35.78,3,12.23,35.53,4,12.32,35.65,1,12.29,35.28,2,12.24,35.42
5,11.91,47.69,3,11.89,47.42,4,11.90,47.55,1,11.93,47.21,2,11.92,47.34
5,11.87,59.56,3,11.94,59.36,4,11.91,59.46,1,11.90,59.11,2,11.91,59.25
5,11.84,1:11.40,3,11.83,1:11.19,4,11.82,1:11.28,1,11.85,1:10.96,2,11.85,1:11.10
5,11.42,1:22.82,3,11.41,1:22.60,4,11.41,1:22.69,1,11.39,1:22.35,2,11.40,1:22.50
5,10.58,1:33.40,3,10.58,1:33.18,4,10.61,1:33.30,1,10.66,1:33.01,2,10.60,1:33.10
5,10.28,1:43.68,3,10.28,1:43.46,4,10.25,1:43.55,1,10.29,1:43.30,2,10.30,1:43.40
5,10.15,1:53.83,3,10.09,1:53.55,4,10.11,1:53.66,1,10.09,1:53.39,2,10.09,1:53.49
5,9.99,2:03.82,3,9.90,2:03.45,4,9.90,2:03.56,1,9.90,2:03.29,2,9.89,2:03.38
5,10.18,2:14.00,3,9.72,2:13.17,4,9.72,2:13.28,1,9.73,2:13.02,2,9.65,2:13.03
5,10.52,2:24.52,3,9.68,2:22.85,4,9.74,2:23.02,2,9.74,2:22.76,1,9.43,2:22.46
5,11.16,2:35.674,3,9.63,2:32.472,4,9.85,2:32.870,2,9.64,2:32.392,1,9.83,2:32.284
