Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,LUI Pan To Barton POSITION,LUI Pan To Barton LAP TIME,LUI Pan To Barton ELAPSED TIME,Lucas NG POSITION,Lucas NG LAP TIME,Lucas NG ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME
1,12.83,12.83,3,13.14,13.14,2,12.98,12.98,4,13.27,13.27
1,10.00,22.83,4,10.03,23.17,3,10.01,22.99,2,9.72,22.99
1,9.60,32.43,3,9.52,32.69,4,9.88,32.87,2,9.53,32.52
1,9.40,41.83,3,9.33,42.02,4,9.73,42.60,2,9.38,41.90
2,9.34,51.17,3,9.30,51.32,4,10.00,52.60,1,9.25,51.15
3,9.31,1:00.48,2,9.05,1:00.37,4,10.54,1:03.14,1,9.05,1:00.20
3,9.25,1:09.73,2,9.12,1:09.49,4,10.91,1:14.05,1,9.11,1:09.31
3,9.35,1:19.08,2,9.26,1:18.75,4,11.30,1:25.35,1,9.12,1:18.43
3,9.81,1:28.886,2,9.52,1:28.268,4,11.31,1:36.653,1,9.34,1:27.768
