Jeremy BECK POSITION,Jeremy BECK LAP TIME,Jeremy BECK ELAPSED TIME,Robert SEIFERT POSITION,Robert SEIFERT LAP TIME,Robert SEIFERT ELAPSED TIME,Azamat SULTANALIYEV POSITION,Azamat SULTANALIYEV LAP TIME,Azamat SULTANALIYEV ELAPSED TIME,Anton SIMON POSITION,Anton SIMON LAP TIME,Anton SIMON ELAPSED TIME
4,14.480,14.480,3,13.630,13.630,2,13.630,13.630,1,13.360,13.360
4,10.060,24.540,3,10.240,23.880,2,10.180,23.810,1,10.270,23.630
4,10.070,34.610,2,10.560,34.440,3,10.640,34.450,1,10.550,34.190
4,9.950,44.570,3,9.920,44.370,2,9.880,44.330,1,9.980,44.170
3,9.920,54.500,4,10.140,54.510,2,10.130,54.460,1,10.130,54.300
3,10.140,1:04.640,1,10.050,1:04.570,4,10.200,1:04.670,2,10.270,1:04.580
1,9.710,1:14.350,3,10.330,1:14.900,2,10.180,1:14.860,4,10.520,1:15.110
1,10.060,1:24.420,3,10.300,1:25.210,2,10.260,1:25.130,4,10.970,1:26.090
1,10.580,1:35.000,2,10.920,1:36.130,4,22.890,1:48.020,3,11.640,1:37.730
