SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME,LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,J P KEPKA POSITION,J P KEPKA LAP TIME,J P KEPKA ELAPSED TIME
2,6.850,6.850,1,6.710,6.710,4,7.160,7.160,3,7.120,7.120
3,9.110,15.960,1,9.030,15.750,2,8.750,15.920,4,9.020,16.140
2,8.750,24.710,1,8.820,24.570,4,9.090,25.010,3,8.790,24.940
1,8.720,33.440,2,8.890,33.460,3,8.690,33.710,4,8.920,33.860
1,9.100,42.550,2,9.110,42.580,3,8.990,42.700,4,9.320,43.180
