GUO Yihan POSITION,GUO Yihan LAP TIME,GUO Yihan ELAPSED TIME,KIM Hae Bin POSITION,KIM Hae Bin LAP TIME,KIM Hae Bin ELAPSED TIME,KONSTANTINOVA Ekaterina POSITION,KONSTANTINOVA Ekaterina LAP TIME,KONSTANTINOVA Ekaterina ELAPSED TIME,VALCEPINA Arianna POSITION,VALCEPINA Arianna LAP TIME,VALCEPINA Arianna ELAPSED TIME,de VRIES Rianne POSITION,de VRIES Rianne LAP TIME,de VRIES Rianne ELAPSED TIME
3,13.52,13.52,5,14.06,14.06,4,13.66,13.66,2,13.41,13.41,1,13.26,13.26
4,10.23,23.75,5,10.05,24.11,1,9.79,23.45,3,10.22,23.63,2,10.25,23.51
4,9.46,33.21,5,9.73,33.84,1,9.50,32.95,3,9.49,33.12,2,9.51,33.02
4,9.94,43.15,5,9.75,43.59,1,9.88,42.83,3,9.95,43.07,2,9.95,42.97
4,9.88,53.03,5,9.93,53.52,1,9.85,52.68,3,9.86,52.93,2,9.86,52.83
4,9.55,1:02.58,5,10.32,1:03.84,1,9.69,1:02.37,3,9.64,1:02.57,2,9.63,1:02.46
1,9.55,1:12.13,5,10.85,1:14.69,1,9.76,1:12.13,4,9.77,1:12.34,3,9.76,1:12.22
1,9.32,1:21.45,5,11.73,1:26.42,2,9.77,1:21.90,4,9.79,1:22.13,3,9.77,1:21.99
1,9.64,1:31.09,5,12.49,1:38.91,2,10.02,1:31.92,4,9.97,1:32.10,3,9.97,1:31.96
