Hitomi SAITO POSITION,Hitomi SAITO LAP TIME,Hitomi SAITO ELAPSED TIME,Michaela KUNCIROVA POSITION,Michaela KUNCIROVA LAP TIME,Michaela KUNCIROVA ELAPSED TIME,HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,Katherine RALSTON POSITION,Katherine RALSTON LAP TIME,Katherine RALSTON ELAPSED TIME
1,13.53,13.53,2,13.63,13.63,4,13.79,13.79,3,13.74,13.74,5,13.99,13.99
1,10.05,23.58,2,10.17,23.80,3,10.04,23.83,4,10.16,23.90,5,10.01,24.00
1,9.96,33.54,2,9.84,33.64,3,9.94,33.77,4,9.96,33.86,5,9.99,33.99
1,9.99,43.53,2,10.03,43.67,3,10.02,43.79,4,10.02,43.88,5,10.02,44.01
1,9.87,53.40,2,9.85,53.52,3,9.82,53.61,4,9.81,53.69,5,9.83,53.84
1,9.89,1:03.29,3,10.04,1:03.56,4,9.96,1:03.57,2,9.61,1:03.30,5,9.88,1:03.72
2,9.81,1:13.10,4,10.21,1:13.77,3,10.02,1:13.59,1,9.34,1:12.64,5,10.22,1:13.94
2,9.81,1:22.91,4,10.46,1:24.23,3,10.24,1:23.83,1,9.43,1:22.07,5,10.38,1:24.32
2,10.15,1:33.06,4,10.70,1:34.93,3,10.73,1:34.56,1,9.71,1:31.78,5,10.77,1:35.09
