Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Alexander FATHOULLIN POSITION,Alexander FATHOULLIN LAP TIME,Alexander FATHOULLIN ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,KIM Joon Chun POSITION,KIM Joon Chun LAP TIME,KIM Joon Chun ELAPSED TIME,Satoshi SAKASHITA POSITION,Satoshi SAKASHITA LAP TIME,Satoshi SAKASHITA ELAPSED TIME
2,13.50,13.50,1,13.46,13.46,4,13.60,13.60,3,13.57,13.57,5,13.82,13.82
3,9.68,23.18,2,9.57,23.03,4,9.72,23.32,1,9.36,22.93,5,9.61,23.43
3,9.34,32.52,2,9.40,32.43,4,9.31,32.63,1,9.37,32.30,5,9.34,32.77
3,9.50,42.02,2,9.56,41.99,4,9.56,42.19,1,9.61,41.91,5,9.55,42.32
3,9.30,51.32,1,9.11,51.10,5,9.30,51.49,2,9.30,51.21,3,9.00,51.32
5,9.40,1:00.72,1,9.06,1:00.16,4,9.10,1:00.59,2,9.02,1:00.23,3,9.08,1:00.40
5,9.22,1:09.94,1,9.04,1:09.20,4,9.26,1:09.85,2,9.07,1:09.30,3,9.04,1:09.44
5,9.68,1:19.62,1,9.27,1:18.47,4,9.59,1:19.44,2,9.29,1:18.59,3,9.24,1:18.68
5,10.17,1:29.79,1,9.37,1:27.84,4,9.84,1:29.28,2,9.39,1:27.98,3,9.46,1:28.14
